name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
TEAMGROUP T-Force Vulcan 16 GB,,"4,3200","2,8",,Black / Silver,10,16
Crucial Ballistix Sport LT 32 GB,,"4,2666","4,8",,White,12.003,16
Crucial Ballistix Sport LT 8 GB,,"4,2666","1,8",,Gray,12.003,16
GeIL EVO FORZA 16 GB,,"4,2666","2,8",,Red / Black,12.003,16
GeIL SUPER LUCE RGB 16 GB,,"4,3200","2,8",,Black,10,16
GeIL EVO POTENZA 16 GB,,"4,2133","2,8",,Red / Black,14.065,15
TEAMGROUP T-Force Xtreem 32 GB,,"4,4000","4,8",,Black / Silver,9,18
TEAMGROUP T-Force Vulcan 64 GB,,"4,3200","4,16",,Silver / Black,10,16
Kingston HyperX Fury 16 GB,,"4,2133","1,16",,White / Silver,13.127,14
Kingston HyperX Fury 32 GB,,"4,2666","4,8",,Red / Silver,12.003,16
Kingston ValueRAM 16 GB,48.97,"4,2400","1,16",3.061,Green / Black,14.167,17
TEAMGROUP T-Force XCalibur RGB 16 GB,,"4,4000","2,8",,Black,9,18
Kingston HyperX Predator RGB 8 GB,,"4,2933","1,8",,Black,10.228,15
Corsair Vengeance LPX 32 GB,,"4,4000","2,16",,Black / Yellow,9.5,19
Crucial CT16G4RFD424A 16 GB,38.99,"4,2400","1,16",2.437,Green / Black,14.167,17
Corsair Vengeance RGB Pro 128 GB,,"4,3200","8,16",,Black,10,16
TEAMGROUP T-Force Xtreem 16 GB,,"4,4133","2,8",,Black / White,8.71,18
ADATA XPG Spectrix D40 16 GB,,"4,3000","2,8",,Red / Black,10.667,16
Corsair Dominator Platinum RGB 128GB (8 x 16GB) 288-Pin DDR4 SDRAM DDR4 3800 (PC4 30400) Desktop Memory Model CMT128GX4M8X3800C19 128 GB,,"4,3800","8,16",,Black,10,19
Patriot Viper Steel 32 GB,,"4,3000","2,16",,Silver / Black,10.667,16
TEAMGROUP T-Force Vulcan Z 4 GB,,"4,3200","1,4",,Black,10,16
GeIL Evo X II RGB SYNC 16 GB,,"4,3000","2,8",,Black,10.667,16
Kingston HyperX Fury 16 GB,,"4,3200","1,16",,Black / Silver,11.25,18
Corsair Vengeance RGB Pro 32 GB,,"4,4000","4,8",,Black,9,18
Kingston HyperX Fury RGB 16 GB,,"4,2400","2,8",,Black,12.5,15
Kingston HyperX Fury RGB 8 GB,,"4,2666","1,8",,Black,12.003,16
TEAMGROUP T-Force Dark Pro 16 GB,,"4,3200","2,8",,Black,8.75,14
Corsair Vengeance LPX 16 GB,,"4,4866","2,8",,Black / Yellow,7.398,18
OLOy MD4U163216CGDA 32 GB,,"4,3200","2,16",,Black,10,16
OLOy MD4U163216CFDA 32 GB,,"4,3200","2,16",,Red,10,16
Crucial Ballistix 64 GB,,"4,3600","2,32",,Black,8.889,16
Crucial Ballistix RGB 64 GB,,"4,3200","2,32",,Red,10,16
Crucial Ballistix RGB 16 GB,,"4,3600","2,8",,Red,8.889,16
ADATA XPG SPECTRIX D50 32 GB,,"4,3000","2,16",,Black,10.667,16
G.Skill Trident Z Royal 128 GB,,"4,4000","4,32",,Gold,9,18
ADATA XPG GAMMIX D20 16 GB,,"4,3200","2,8",,Black,10,16
G.Skill Trident Z Royal 256 GB,,"4,3600","8,32",,Silver,8.889,16
Kingston HyperX Fury 64 GB,,"4,2400","4,16",,Black,12.5,15
Klevv CRAS X RGB 16 GB,,"4,4000","2,8",,Black,9.5,19
G.Skill Trident Z Royal 32 GB,,"4,4000","2,16",,Silver / Black,7,14
Corsair Vengeance 32 GB,,"5,5200","2,16",,White / Gray,14.615,38
Neo Forza Encke 16 GB,,"3,1600","2,8",,Gold / Black,13.75,11
G.Skill Trident Z5 RGB 32 GB,124.83,"5,5600","2,16",3.901,Silver / Black,14.286,40
V-Color Manta XPrism RGB 32 GB,,"5,5600","2,16",,Black,12.857,36
G.Skill Ripjaws V 16 GB,,"4,5066","2,8",,Black,7.896,20
Kingston FURY Renegade 16 GB,59.95,"4,3200","1,16",3.747,Black,10,16
Kingston Fury Renegade RGB 32 GB,108.99,"4,3200","1,32",3.406,Black / Silver,10,16
TEAMGROUP T-Force Vulcan Z 16 GB,,"4,3000","2,8",,Red,10.667,16
TEAMGROUP T-Force Delta RGB 8 GB,,"4,3600","1,8",,Black,10,18
TEAMGROUP T-Force Delta RGB 16 GB,,"4,3600","2,8",,White,7.778,14
Kingston Server Premier 8 GB,45.76,"4,3200","1,8",5.72,,13.75,22
V-Color Prism Pro 32 GB,,"4,3600","2,16",,White,10,18
TEAMGROUP T-Force Dark Za 32 GB,,"4,3200","2,16",,Black,10,16
PNY XLR8 Gaming EPIC-X RGB 32 GB,,"4,3200","2,16",,White,10,16
G.Skill Ripjaws V 8 GB,,"4,3000","1,8",,Red,10.667,16
G.Skill Trident Z Royal Elite 32 GB,,"4,4000","2,16",,Gold,8,16
TEAMGROUP Elite Plus 8 GB,,"5,4800","1,8",,Black,16.667,40
Silicon Power XPOWER Turbine 16 GB,,"4,3200","1,16",,Blue / Black,10,16
TEAMGROUP T-Force Vulcan 16 GB,,"5,5200","1,16",,Red,15.385,40
Corsair Dominator Platinum RGB 64 GB,,"5,5600","2,32",,Gray / Black,12.857,36
G.Skill Trident Z5 RGB 64 GB,,"5,6000","2,32",,Black,10.667,32
Thermaltake TOUGHRAM XG RGB 16 GB,114.38,"4,4400","2,8",7.149,Black / Silver,8.636,19
Timetec 75TT36NU2R8-16GK2 32 GB,105.99,"4,3600","2,16",3.312,Blue,10,18
OLOy Blade RGB 16 GB,,"5,5600","2,8",,Platinum,11.429,32
GeIL Polaris RGB 32 GB,,"5,6400","2,16",,Black,11.875,38
Kingston FURY Beast 16 GB,,"5,5200","2,8",,Black,15.385,40
GeIL ORION V RGB 32 GB,,"5,8000","2,16",,Red,9.5,38
TEAMGROUP Elite Plus 16 GB,,"4,3200","2,8",,Red / Black,13.75,22
TEAMGROUP Elite 64 GB,,"5,6400","2,32",,Black,16.25,52
Klevv CRAS XR5 RGB 32 GB,,"5,8000","2,16",,White / Black,9.5,38
Klevv CRAS V RGB 32 GB,,"5,6400","2,16",,Black,10,32
GeIL EVO V RGB 96 GB,,"5,6800","2,48",,Black,10.588,36
GOODRAM IRDM PRO 16 GB,,"4,3600","2,8",,Black / Gold,9.444,17
Netac Shadow II 16 GB,,"4,3200","1,16",,Black,10,16
Kingston FURY Impact 16 GB,35.99,"4,3200","1,16",2.249,Black,12.5,20
G.Skill Ripjaws 32 GB,64.98,"4,2400","2,16",2.031,Black / Blue,13.333,16
TEAMGROUP T-Force Zeus 8 GB,18.98,"4,3200","1,8",2.373,Red / Black,13.75,22
Kingston FURY Impact 8 GB,27.21,"4,3200","1,8",3.401,Black,12.5,20
G.Skill Trident Z 32 GB,297.65,"4,3200","2,16",9.302,Silver / White,10,16
G.Skill F4-3200C16D-32GTZ 32 GB,73.64,"4,3200","2,16",2.301,Gray / Red,10,16
Corsair Dominator Platinum RGB 32 GB,149.99,"4,4000","2,16",4.687,Black,9,18
G.Skill Trident Z Royal Elite 64 GB,,"4,3600","4,16",,Gold,7.778,14
G.Skill Trident Z RGB 32 GB,193.63,"4,4000","2,16",6.051,Black,8.5,17
Mushkin Essentials 8 GB,15.95,"3,1600","1,8",1.994,Green,13.75,11
Corsair CMV16GX3M2A1600C11 16 GB,139.93,"3,1600","2,8",8.746,Green,11.25,9
Corsair Vengeance Performance 8 GB,23.99,"4,2400","1,8",2.999,Black / Yellow,13.333,16
Crucial CT32G4SFD8266 32 GB,68.98,"4,2666","1,32",2.156,Green / Black,14.254,19
G.Skill Trident Z Royal 32 GB,216.2,"4,4000","2,16",6.756,Silver,8.5,17
G.Skill Ripjaws 16 GB,57.99,"4,3200","2,8",3.624,Black / Blue,11.25,18
Crucial CT2K8G4SFS8266 16 GB,44.99,"4,2666","2,8",2.812,Green / Black,14.254,19
Kingston Fury Renegade RGB 64 GB,182.35,"4,3600","2,32",2.849,Black / Silver,10,18
G.Skill Ripjaws 16 GB,,"4,2666","4,4",,Red,11.253,15
G.Skill Trident Z 16 GB,,"4,4133","2,8",,Silver / Red,9.194,19
PROXMEM UNDERWORLD TUF 32 GB,124.99,"5,6400","2,16",3.906,Black / Gray,10,32
ADATA XPG LANCER RGB 16 GB,,"5,7200","1,16",,White,9.444,34
G.Skill Trident Z Royal 16 GB,,"4,4266","2,8",,Gold,8.908,19
Mushkin Essentials 32 GB,60.82,"4,2666","1,32",1.901,Green / Black,14.254,19
Corsair Dominator Platinum RGB 32 GB,159.99,"4,3200","4,8",5,Black,10,16
Kingston Fury Renegade RGB 32 GB,93.99,"4,3600","1,32",2.937,Black,10,18
Kingston Server Premier 8 GB,32.99,"4,3200","1,8",4.124,,13.75,22
Mushkin Proline 32 GB,76.55,"4,2933","1,32",2.392,,15.002,22
G.Skill Trident Z RGB 32 GB,,"4,3600","4,8",,,7.778,14
ADATA XPG LANCER RGB 16 GB,,"5,6400","1,16",,Black,10,32
ADATA XPG LANCER RGB 32 GB,,"5,6800","2,16",,White,10,34
Kingston HyperX Fury 8 GB,,"3,1600","1,8",,Black / Silver,12.5,10
Kingston KVR400D2D4R3/4G 4 GB,28.99,"2,400","1,4",7.247,Green,15,3
G.Skill Ripjaws V 16 GB,432,"4,3000","4,4",27,Black / Red,10,15
G.Skill Ripjaws V 64 GB,496.99,"4,3600","4,16",7.765,Red / Black,10.556,19
G.Skill Trident Z Neo 32 GB,,"4,3000","2,16",,Silver / Black,10.667,16
Mushkin Redline Lumina 16 GB,68.52,"4,4000","2,8",4.282,Black,9,18
Silicon Power XPOWER Zenith RGB Gaming 32 GB,,"5,5200","2,16",,Black,14.615,38
Thermaltake TOUGHRAM XG RGB 16 GB,184.92,"4,4600","2,8",11.557,Black / Silver,8.261,19
GeIL Polaris RGB SYNC 32 GB,,"5,7200","2,16",,Black,10,36
Crucial Ballistix 1 GB,,"2,1066","1,1",,Green,9.381,5
Kingston HyperX 2 GB,,"2,1066","2,1",,Blue / White,9.381,5
Kingston HyperX Blu 2 GB,,"3,1600","2,1",,Blue / Silver,11.25,9
Kingston HyperX Blu 2 GB,,"3,1333","1,2",,Blue / Silver,13.503,9
G.Skill ECO 8 GB,,"3,1333","2,4",,White,10.503,7
Patriot Signature 8 GB,67.03,"3,1600","2,4",8.379,Blue / Silver,13.75,11
Corsair Vengeance 12 GB,,"3,2000","3,4",,Black / Silver,9,9
PNY XLR8 8 GB,,"3,1600","2,4",,Black / Silver,11.25,9
Mushkin 996573 4 GB,17.38,"3,1066","2,2",4.345,Green,13.133,7
Corsair XMS3 8 GB,,"3,1600","2,4",,Black / White,11.25,9
G.Skill Sniper 16 GB,,"3,1600","4,4",,Black / Red,11.25,9
Kingston Value 4 GB,24.7,"3,1333","1,4",6.175,Green,13.503,9
Corsair Vengeance 16 GB,,"3,1866","4,4",,Black / Red,9.646,9
Kingston HyperX 16 GB,,"3,1866","4,4",,Blue / Silver,9.646,9
G.Skill Trident X 16 GB,,"3,2133","2,8",,Black / Red,8.439,9
Crucial Ballistix Tactical 8 GB,,"3,1600","2,4",,Black / Yellow,10,8
Kingston HyperX 32 GB,,"3,1600","4,8",,Green / Silver,11.25,9
Avexir AVEXIR Core Series 8GB Kit 8 GB,,"3,3100","2,4",,Black / Blue,7.742,12
Crucial CT51264BA160BJ 4 GB,,"3,1600","1,4",,Black / Green,13.75,11
Kingston HyperX Fury 8 GB,,"3,1333","2,4",,Black / Silver,13.503,9
Kingston HyperX Fury 4 GB,,"3,1600","1,4",,Red / Silver,12.5,10
Corsair Dominator Platinum 16 GB,,"3,3000","4,4",,Black / Silver,8,12
Crucial CT2K32G3ELSDQ4186D 64 GB,,"3,1866","2,32",,Blue / Silver,11.79,11
TEAMGROUP Elite Plus 16 GB,,"4,2133","2,8",,Black / Gold,14.065,15
Kingston KTD-PE421/8G 8 GB,23.99,"4,2133","1,8",2.999,Green,14.065,15
Samsung M393A4K40BB0-CPB0 32 GB,,"4,2133","1,32",,Black / Green,14.065,15
G.Skill Ripjaws 4 16 GB,,"4,3000","2,8",,Black,10,15
G.Skill Ripjaws 4 8 GB,,"4,3200","2,4",,Blue,10,16
Corsair Vengeance LP 8 GB,,"3,1600","1,8",,Red,13.75,11
G.Skill Ripjaws V 16 GB,,"4,2133","4,4",,Black / Red,14.065,15
G.Skill Ripjaws V 16 GB,,"4,3000","2,8",,Black / Red,10,15
Corsair Vengeance Pro 32 GB,,"3,2133","4,8",,Black / Red,10.314,11
G.Skill Ripjaws V 16 GB,,"4,2800","2,8",,Black / Red,11.429,16
ADATA XPG V3 16 GB,,"3,2133","2,8",,Black / Red,9.376,10
G.Skill Ripjaws V 64 GB,,"4,2400","4,16",,Red,12.5,15
G.Skill Ripjaws V 8 GB,,"4,2666","1,8",,Red,11.253,15
G.Skill Ripjaws V 16 GB,,"4,2800","2,8",,Black,11.429,16
G.Skill Ripjaws V 16 GB,,"4,3000","2,8",,Black,10,15
GeIL EVO POTENZA 16 GB,,"4,3200","2,8",,Red,10,16
Crucial CT4K16G4DFD8213 64 GB,299.95,"4,2133","4,16",4.687,Black / Green,14.065,15
Kingston FURY 8 GB,,"4,2400","1,8",,Black / Silver,12.5,15
TEAMGROUP Dark 16 GB,,"4,2400","2,8",,Black / Silver,11.667,14
G.Skill FORTIS 16 GB,,"4,2400","2,8",,Black / Red,12.5,15
G.Skill Trident Z RGB 32 GB,,"4,3000","4,8",,Black,10.667,16
Corsair Dominator Platinum 128 GB,,"4,3200","8,16",,Black / Silver,10,16
Crucial Ballistix Sport LT 16 GB,,"4,2666","2,8",,White,12.003,16
Crucial Ballistix Elite 32 GB,,"4,3000","2,16",,Black,10,15
Patriot Viper Elite 16 GB,,"4,2666","2,8",,Black / Blue,12.003,16
Crucial Ballistix Tactical 8 GB,,"4,3000","1,8",,Black / Silver,10,15
Crucial Sport LT 8 GB,,"4,2400","1,8",,White,13.333,16
TEAMGROUP T-Force Delta RGB 8 GB,,"4,2400","1,8",,Black,12.5,15
ADATA ADATA 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model AX4U3000316G16-DRG 32 GB,,"4,3000","2,16",,Red / White,10.667,16
Corsair Vengeance LPX 16 GB,,"4,3000","4,4",,Black / Yellow,10.667,16
Corsair Vengeance LPX 32 GB,,"4,4266","4,8",,Black / Yellow,8.908,19
Corsair Vengeance RGB 32 GB,,"4,3200","2,16",,Black,10,16
Corsair Vengeance RGB 16 GB,,"4,3466","2,8",,Black,9.233,16
TEAMGROUP T-Force Vulcan 16 GB,,"3,2133","2,8",,Red,10.314,11
Kingston HyperX Predator 16 GB,,"4,3000","1,16",,Black,10,15
Kingston KHX8500D2K2/4GR 4 GB,,"2,1066","2,2",,Blue,9.381,5
Crucial CT2K51264BD186DJ 8 GB,,"3,1866","2,4",,Green / Black,13.934,13
G.Skill Ripjaws V 16 GB,,"4,3600","1,16",,Red / Black,10.556,19
ADATA XPG GAMMIX D10 8 GB,,"4,2666","1,8",,Black / White,12.003,16
TEAMGROUP T-Force XCalibur RGB 16 GB,,"4,3600","2,8",,Black,10,18
Crucial CT4K4G4RFS8266 16 GB,,"4,2666","4,4",,Green / Black,14.254,19
Crucial Ballistix Sport LT 8 GB,,"4,2666","1,8",,Red / Black,12.003,16
Corsair Dominator Platinum 32 GB,,"4,3200","4,8",,Silver / Black,10,16
Corsair Vengeance LPX 128 GB,,"4,3200","8,16",,Black / Yellow,10,16
Corsair Vengeance RGB Pro 32 GB,,"4,3000","2,16",,White,10,15
G.Skill Trident Z RGB 32 GB,,"4,3600","4,8",,Black,10.556,19
Samsung Samsung DDR4 2133MHz CL15 16GB RegECC 2Rx4 M393A2G40EB1-CPB 1.2V single pack 16 GB,,"4,2133","1,16",,Green / Blue,14.065,15
G.Skill Trident Z Royal 16 GB,,"4,3600","2,8",,Gold,10,18
Crucial Ballistix Sport LT 16 GB,,"4,3200","2,8",,Red / Black,10,16
Corsair Dominator Platinum RGB 32 GB,373.18,"4,3000","4,8",11.662,Black,10,15
G.Skill Trident Z Royal 64 GB,,"4,3200","4,16",,Silver,8.75,14
OLOy MD4U082619BBSA 8 GB,,"4,2666","1,8",,Red / Black,14.254,19
OLOy MD4U162619BBSA 16 GB,,"4,2666","1,16",,Red / Black,14.254,19
TEAMGROUP T-Force Vulcan Z 16 GB,,"4,3200","1,16",,Red,10,16
TEAMGROUP T-Force Vulcan Z 32 GB,,"4,3200","2,16",,Red,10,16
Kingston HyperX Fury RGB 8 GB,,"4,3000","1,8",,Black,10,15
Kingston HyperX Fury RGB 64 GB,,"4,3200","4,16",,Black,10,16
Corsair Vengeance LPX 16 GB,,"4,4800","2,8",,Black / Yellow,7.5,18
TEAMGROUP T-Force Dark Z 16 GB,,"4,3200","2,8",,Red / Black,10,16
OLOy MD4U163016CGDA 32 GB,,"4,3000","2,16",,Black,10.667,16
Corsair Vengeance LPX 64 GB,,"4,3000","2,32",,Black / Yellow,10,15
ADATA XPG GAMMIX D30 16 GB,,"4,3600","2,8",,Silver / Black,9.444,17
TEAMGROUP T-Force Dark Za 16 GB,,"4,4000","2,8",,Black / Silver,9,18
Thermaltake TOUGHRAM RGB 16 GB,,"4,3200","2,8",,Black / Silver,10,16
Thermaltake TOUGHRAM RGB 16 GB,,"4,4000","2,8",,Black / Silver,9.5,19
Crucial Ballistix 32 GB,,"4,3200","2,16",,Red,10,16
Crucial Ballistix RGB 32 GB,,"4,3200","2,16",,White,10,16
Kingston HyperX Fury 128 GB,,"4,3200","4,32",,Black,10,16
PNY Performance 8 GB,24.99,"4,2666","1,8",3.124,Black,14.254,19
Corsair Vengeance LPX 32 GB,,"4,3200","4,8",,Black / Yellow,10,16
GeIL EVO SPEAR 16 GB,,"4,3200","2,8",,Black,10,16
OLOy OWL 32 GB,,"4,3000","2,16",,Orange,10.667,16
Corsair Dominator Platinum RGB 64 GB,,"4,3200","4,16",,White,10,16
TEAMGROUP Elite Plus 16 GB,,"4,2666","2,8",,Red / Black,14.254,19
V-Color SKYWALKER PLUS 32 GB,,"4,3200","2,16",,Silver / Black,10,16
G.Skill Trident Z Neo 16 GB,,"4,3800","2,8",,Black / Silver,8.421,16
Neo Forza FAYE 32 GB,,"4,3200","2,16",,Silver / Black,10,16
G.Skill Trident Z Royal Elite 32 GB,,"4,4000","2,16",,Gold / Black,7,14
Kingston HyperX Predator RGB 16 GB,,"4,3600","2,8",,Black / Silver,9.444,17
G.Skill Trident Z5 32 GB,,"5,6000","2,16",,Silver / Black,12,36
G.Skill Trident Z Royal Elite 16 GB,,"4,5066","2,8",,Gold,7.896,20
Corsair Dominator Platinum RGB 32 GB,,"5,4800","2,16",,Black,16.667,40
G.Skill Ripjaws V 128 GB,,"4,3600","8,16",,Black,7.778,14
G.Skill Ripjaws V 64 GB,,"4,4266","2,32",,Black,8.908,19
G.Skill Trident Z Neo 16 GB,,"4,3600","2,8",,Black / White,7.778,14
G.Skill TridentZ RGB 16 GB,,"4,4800","2,8",,Black,7.917,19
Addlink Spider X4 32 GB,84.44,"4,3200","2,16",2.639,Black,10,16
TEAMGROUP T-Force Delta RGB 16 GB,,"4,2666","2,8",,Black,12.003,16
Kingston FURY Renegade 128 GB,,"4,2666","4,32",,Black,11.253,15
Kingston FURY Renegade 64 GB,208.57,"4,3200","4,16",3.259,Black,10,16
G.Skill Trident Z5 RGB 64 GB,,"5,5600","2,32",,White / Black,10,28
G.Skill Trident Z5 RGB 32 GB,,"5,6000","2,16",,White / Black,13.333,40
Kingston ValueRAM 32 GB,80.89,"4,2666","1,32",2.528,Green,14.254,19
G.Skill Ripjaws S5 64 GB,,"5,5600","2,32",,Black,10,28
G.Skill Ripjaws S5 64 GB,,"5,6000","2,32",,White,10,30
PNY XLR8 16 GB,,"4,3600","1,16",,Black,10,18
ADATA XPG GAMMIX D20 8 GB,,"4,3200","1,8",,Black / Silver,10,16
V-Color XSky RGB 32 GB,,"5,6400","2,16",,Silver,10,32
TEAMGROUP T-Force Xtreem ARGB 16 GB,,"4,5333","2,8",,Black,8.251,22
TEAMGROUP T-Force Dark Z 32 GB,240.99,"4,3200","2,16",7.531,Gray,10,16
ADATA XPG SPECTRIX D50 16 GB,,"4,3600","2,8",,Black,10,18
ADATA XPG SPECTRIX D50 32 GB,,"4,3200","4,8",,Black,10,16
ADATA XPG SPECTRIX D50 8 GB,,"4,3200","1,8",,White,10,16
ADATA XPG SPECTRIX D50 16 GB,,"4,3200","1,16",,White,10,16
Mushkin Redline 16 GB,61.26,"3,1600","2,8",3.829,Black,11.25,9
G.Skill Trident Z 64 GB,,"5,5600","2,32",,White / Black,10.714,30
G.Skill Sniper X 32 GB,,"4,3600","2,16",,White,10,18
G.Skill Trident Z Royal Elite 32 GB,,"4,3600","4,8",,Silver,8.889,16
HP V6 16 GB,,"4,3600","2,8",,Black,10,18
Acer UD100 8 GB,,"4,2666","1,8",,Black,14.254,19
Silicon Power XPOWER Zenith Gaming 16 GB,,"4,3600","1,16",,Black,10,18
Silicon Power XPOWER Zenith RGB Gaming 16 GB,,"5,5600","2,8",,White,14.286,40
OLOy Blade RGB 32 GB,,"5,6000","2,16",,Black,10.667,32
TEAMGROUP T-Force DELTAα RGB 16 GB,,"5,5600","1,16",,White,14.286,40
Patriot Viper 4 16 GB,,"4,3600","2,8",,Red / Black,9.444,17
Klevv CRAS XR5 RGB 32 GB,,"5,6000","2,16",,White / Black,10.667,32
GeIL EVO V RGB 24 GB,,"5,7200","1,24",,White,10,36
GOODRAM IRDM PRO 16 GB,,"4,3600","2,8",,White / Red,10,18
Apacer Panther 32 GB,,"5,5200","2,16",,Silver / Black,14.615,38
ADATA XPG LANCER RGB 16 GB,,"5,5600","1,16",,White,12.857,36
ADATA XPG LANCER RGB 16 GB,,"5,6400","1,16",,White,10,32
Lexar THOR OC 32 GB,,"5,5600","2,16",,Black / Gold,12.857,36
G.Skill Trident Z Royal 16 GB,177.17,"4,3600","2,8",11.073,Silver,7.778,14
Kingston FURY Impact 32 GB,84.94,"4,2666","2,16",2.654,Black,11.253,15
TEAMGROUP Elite 8 GB,19.98,"4,2666","1,8",2.498,Black,14.254,19
G.Skill Ripjaws 16 GB,33.98,"4,2666","2,8",2.124,Black,13.503,18
Crucial CT16G4SFD8266 16 GB,34.99,"4,2666","1,16",2.187,Green / Black,14.254,19
Kingston FURY Impact 64 GB,155.88,"4,2666","2,32",2.436,Black,12.003,16
Mushkin Essentials 32 GB,61.4,"4,2400","2,16",1.919,Green / Black,14.167,17
Silicon Power SP016GBSFU240B22 16 GB,,"4,2400","2,8",,,14.167,17
TEAMGROUP Elite 32 GB,60.99,"4,3200","1,32",1.906,Black,13.75,22
TEAMGROUP T-Force Zeus 16 GB,,"4,3200","2,8",,Red / Black,13.75,22
G.Skill Ripjaws V 32 GB,179.65,"4,4000","2,16",5.614,Black,8.5,17
Kingston Server Premier 16 GB,54.46,"4,3200","1,16",3.404,,13.75,22
Samsung M386B4G70DM0-YK0 32 GB,,"3,1600","1,32",,Silver,13.75,11
Samsung M393B2G70BH0-YH9 16 GB,53.99,"3,1333","1,16",3.374,Black / Green,13.503,9
Corsair Vengeance Performance 16 GB,39.99,"4,2666","1,16",2.499,Black / Yellow,13.503,18
Crucial CT32G4RFD4293 32 GB,90.63,"4,2933","1,32",2.832,Green / Black,14.32,21
TEAMGROUP T-Force Zeus 32 GB,,"4,3200","2,16",,Red / Black,10,16
Kingston KVR16LS11/8 8 GB,23.63,"3,1600","1,8",2.954,Green,13.75,11
Kingston FURY Renegade 16 GB,,"4,4000","2,8",,Black,9.5,19
Mushkin Redline 16 GB,60.58,"4,3200","2,8",3.786,White,8.75,14
Kingston ValueRAM 16 GB,87.99,"4,2133","1,16",5.499,Green,14.065,15
G.Skill F4-3200C16Q2-128GTZKY 128 GB,363.84,"4,3200","8,16",2.842,Black / Yellow,10,16
TEAMGROUP T-Force Vulcan alpha 16 GB,,"5,5200","2,8",,Black,14.615,38
Kingston ValueRAM 2 GB,19.26,"2,800","1,2",9.63,Green,12.5,5
AMD AE34G1609U1 4 GB,40.13,"3,1600","1,4",10.033,,11.25,9
Kingston KVR16E11/4 4 GB,29.92,"3,1600","1,4",7.48,Green,13.75,11
Corsair Vengeance LPX 32 GB,,"4,2666","2,16",,White,12.003,16
Corsair Vengeance LED 32 GB,,"4,3200","2,16",,Black / White,10,16
G.Skill Trident Z 32 GB,,"4,3200","4,8",,Silver / White,8.75,14
G.Skill FORTIS 64 GB,137.72,"4,2400","4,16",2.152,Black / Red,12.5,15
Thermaltake TOUGHRAM RGB 16 GB,155.22,"4,4400","2,8",9.701,White / Silver,8.636,19
Crucial Ballistix MAX RGB 32 GB,,"4,4000","2,16",,Black,9,18
G.Skill Trident Z Royal Elite 16 GB,109.99,"4,3600","2,8",6.874,Gold,8.889,16
G.Skill Trident Z Royal Elite 32 GB,244.99,"4,3600","4,8",7.656,Gold,8.889,16
G.Skill Trident Z 32 GB,110.99,"5,5600","2,16",3.468,Black,12.857,36
Silicon Power SP008GBLFU266X22 8 GB,,"4,2666","2,4",,,14.254,19
Neo Forza MARS 16 GB,51.99,"4,4000","2,8",3.249,Gray / Black,9.5,19
Crucial CT2KIT12864AA800 2 GB,24.99,"2,800","2,1",12.495,Green,15,6
Kingston ValueRAM 2 GB,14.96,"2,667","1,2",7.48,Green,14.993,5
OCZ Value 1 GB,,"2,667","1,1",,Green,14.993,5
ADATA Premier 4 GB,,"3,1333","2,2",,Green,13.503,9
Kingston KVR1333D3/2GR 2 GB,22.1,"3,1333","1,2",11.05,Green,13.503,9
Kingston HyperX Blu 4 GB,,"3,1333","1,4",,Blue / Silver,13.503,9
Corsair Vengeance LP 16 GB,,"3,1600","4,4",,Black / Yellow,11.25,9
Mushkin Essentials 16 GB,,"3,1600","4,4",,Green,13.75,11
G.Skill Sniper 8 GB,99.99,"3,2133","2,4",12.499,Black / Red,8.439,9
Crucial Ballistix Sport 4 GB,,"3,1333","1,4",,Black / Silver,13.503,9
Corsair Vengeance 4 GB,24.99,"3,1600","1,4",6.247,Black / Yellow,11.25,9
G.Skill F2-8500CL5D-4GBPI 4 GB,,"2,1066","2,2",,,9.381,5
Corsair Vengeance 16 GB,,"3,1866","2,8",,Black / Silver,9.646,9
Crucial Ballistix Elite 8 GB,,"3,1866","1,8",,Black / Silver,9.646,9
Corsair XMS 16 GB,,"3,1333","2,8",,Black / Silver,13.503,9
Corsair Vengeance 8 GB,,"3,2133","2,4",,Black / Blue,8.439,9
Corsair Vengeance 32 GB,,"3,1600","4,8",,Black / Silver,11.25,9
Corsair Dominator Platinum 16 GB,,"3,1600","2,8",,Black / Silver,11.25,9
G.Skill Sniper Gaming 32 GB,,"3,1866","4,8",,Black / Red,10.718,10
Corsair Dominator Platinum 16 GB,,"3,2133","4,4",,Black / Silver,8.439,9
Kingston KVR16N11H/4 4 GB,21.99,"3,1600","1,4",5.497,Green,13.75,11
Kingston HyperX Beast 16 GB,,"3,1600","2,8",,Black,11.25,9
PNY XLR8 8 GB,,"3,1600","1,8",,,11.25,9
Crucial Ballistix Sport XT 16 GB,,"3,1600","2,8",,Blue / Silver,11.25,9
Crucial Ballistix Sport 4 GB,39.99,"3,1866","1,4",9.998,Black / Silver,10.718,10
VisionTek Adrenaline 4 GB,102.97,"2,800","1,4",25.742,Green,15,6
Patriot Patriot Viper 3 8GB 8 GB,,"3,1600","1,8",,,12.5,10
ADATA XPG V1.0 8 GB,,"3,1600","2,4",,Black / Silver,11.25,9
IBM 00D4955 4 GB,132.99,"3,1600","1,4",33.248,Black / Green,13.75,11
Patriot Signature Line 8 GB,,"3,1333","2,4",,Blue / Silver,13.503,9
Kingston HyperX Fury 16 GB,,"3,1333","2,8",,Black / Silver,13.503,9
