name,price,capacity,price_per_gb,type,cache,form_factor,interface
Seagate Exos 7E10 512e/4Kn,238.93,10000,0.024,7200,256,3.5,SATA 6.0 Gb/s
TEAMGROUP T-FORCE G70 PRO Aluminum,149.99,2000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Green,169,3000,0.056,5400,64,3.5,SATA 3.0 Gb/s
Seagate BarraCuda Pro,151.99,6000,0.025,7200,256,3.5,SATA 6.0 Gb/s
Kingston KC600,33.79,256,0.132,SSD,,2.5,SATA 6.0 Gb/s
Apacer AS2280Q4U,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue Mobile,19.98,320,0.062,5400,16,2.5,SATA 6.0 Gb/s
Seagate Nytro Enterprise,,15360,,SSD,,2.5,SAS 12.0 Gb/s
KIOXIA EXCERIA,,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Netac NV7000-t,102.99,1000,0.103,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Ultrastar,,8000,,7200,,3.5,SATA 6.0 Gb/s
Gigabyte AORUS,,1000,,SSD,,PCIe,PCIe x4
Verbatim Vi3000,46.11,256,0.18,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung Spinpoint F4,,2000,,5400,32,3.5,SATA 3.0 Gb/s
Samsung SM951,,256,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Toshiba XG5,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS RGB,,512,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
XPG SX6000 Lite,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA Ultimate SU750,,256,,SSD,,2.5,SATA 6.0 Gb/s
Sabrent Rocket,,1000,,SSD,,M.2-2242,M.2 PCIe 3.0 X4
Klevv CRAS C710,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland QN322,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
KingSpec VP101,234.99,2000,0.117,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Seagate SkyHawk Surveillance +Rescue,139.99,6000,0.023,5400,256,3.5,SATA 6.0 Gb/s
TEAMGROUP GX2,102.99,2000,0.051,SSD,,2.5,SATA 6.0 Gb/s
Transcend SSD230S,419.99,4000,0.105,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red SA500,169.99,2000,0.085,SSD,,M.2-2280,M.2 SATA
Kingston A400,50.99,480,0.106,SSD,,M.2-2280,M.2 SATA
Western Digital Caviar Green,69.98,1500,0.047,5400,64,3.5,SATA 3.0 Gb/s
Gigabyte AORUS,,500,,SSD,512,M.2-2280,M.2 PCIe 4.0 X4
Verbatim Vi560,36.76,512,0.072,SSD,,M.2-2280,M.2 SATA
Western Digital Scorpio Blue,27.99,80,0.35,5400,8,2.5,SATA 3.0 Gb/s
Nextorage NN5PRO,399.99,2000,0.2,SSD,4096,M.2-2280,M.2 PCIe 4.0 X8
Western Digital Caviar Blue,51.6,250,0.206,7200,8,3.5,SATA 3.0 Gb/s
Western Digital Red,235,8000,0.029,5400,256,3.5,SATA 6.0 Gb/s
PNY CS2130,99.99,1000,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel D3-S4610,1140,7680,0.148,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red,122,2000,0.061,5400,64,3.5,SATA 6.0 Gb/s
Transcend TS64GSSD370S,47.99,64,0.75,SSD,,2.5,SATA 6.0 Gb/s
Mushkin Pilot-E,102.61,1000,0.103,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket,,4000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Supermicro HDD-T4000-ST4000NM00,,4000,,7200,128,3.5,SATA 6.0 Gb/s
Crucial MX300,,750,,SSD,,2.5,SATA 6.0 Gb/s
Intenso 3812440,26.95,256,0.105,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,,12000,,7200,256,3.5,SATA 6.0 Gb/s
Intel DC P4511,,2000,,SSD,,M.2-22110,M.2 PCIe 3.0 X4
Neo Forza NFS01,,240,,SSD,,2.5,SATA 6.0 Gb/s
Nextorage G-Series,,8000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba AL13SEB600,17.85,600,0.03,10500,64,2.5,SAS 6.0 Gb/s
TEAMGROUP A440 Lite,77.98,1000,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate SkyHawk AI,199.99,8000,0.025,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Red SN700,199.99,2000,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Transcend 250H,218.02,2000,0.109,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4.0 HTSK,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S50 Lite,300,2000,0.15,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba MG08ADA800E,188.99,8000,0.024,7200,256,3.5,SATA 6.0 Gb/s
Western Digital SanDisk Extreme,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Hitachi Ultrastar 7K6000,87.73,4000,0.022,7200,128,3.5,SATA 6.0 Gb/s
Patriot P300,51.91,512,0.101,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS2280P4,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,36.17,500,0.072,7200,16,3.5,SATA 3.0 Gb/s
Seagate Enterprise,230,12000,0.019,7200,256,3.5,SATA 6.0 Gb/s
TEAMGROUP GX2,26.98,256,0.105,SSD,,2.5,SATA 6.0 Gb/s
Transcend 110S,99.99,1000,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power UD85,,250,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Inland Platinum,449.99,4000,0.112,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,,320,,7200,8,3.5,SATA 3.0 Gb/s
Seagate BarraCuda,54,320,0.169,7200,16,3.5,SATA 6.0 Gb/s
SanDisk X400,164,128,1.281,SSD,,M.2-2280,M.2 SATA
Corsair MP510,,480,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte GP-GSM2NE3100TNTD,129,1000,0.129,SSD,,M.2-2280,M.2 PCIe 3.0 X4
GOODRAM CL100 gen.3,77.38,960,0.081,SSD,,2.5,SATA 6.0 Gb/s
ADATA Premier SP550,,240,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Black,,5000,,7200,128,3.5,SATA 6.0 Gb/s
Intel 600p,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black NVMe,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Micron 1100,,256,,SSD,,2.5,SATA 6.0 Gb/s
ADATA XPG SX8200 960,,960,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung MZ1LV960HCJH,,960,,SSD,,M.2-22110,M.2 PCIe 3.0 X4
HP EX900,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
HP S700,,1000,,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP T-FORCE Z44A5,,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Ultrastar DC HC550,279.99,16000,0.017,7200,512,3.5,SAS 12.0 Gb/s
Sabrent Rocket 4.0,39.99,256,0.156,SSD,,M.2-2230,M.2 PCIe 4.0 X4
Micron 9300 Pro,710,7680,0.092,SSD,,2.5,U.2
Seagate IronWolf Pro,249,10000,0.025,7200,256,3.5,SATA 6.0 Gb/s
Nextorage G-Series LE,144.99,2000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
VisionTek DLX4,189.98,2000,0.095,SSD,,M.2-2242,M.2 PCIe 4.0 X4
Seagate IronWolf 125,,500,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Purple Pro,240.95,10000,0.024,7200,256,3.5,SATA 6.0 Gb/s
Seagate FireCuda 520 Rev 2.0,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba PH3500U-1I72,169,5000,0.034,7200,128,3.5,SATA 6.0 Gb/s
Western Digital Blue,91.13,250,0.365,SSD,,2.5,SATA 6.0 Gb/s
Patriot P300,81.14,1000,0.081,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Purple,73,2000,0.036,5400,64,3.5,SATA 6.0 Gb/s
SanDisk Ultra II,226.49,960,0.236,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,89,1500,0.059,7200,32,3.5,SATA 3.0 Gb/s
SanDisk X400,249,512,0.486,SSD,,M.2-2280,M.2 SATA
SK Hynix SL308,70,250,0.28,SSD,,2.5,SATA 6.0 Gb/s
SanDisk X600,860,1000,0.86,SSD,,M.2-2280,M.2 SATA
Transcend 110S,49.95,512,0.098,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland Gaming Performance Plus,92.99,1000,0.093,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Fantom Drives VENOM8,144.94,2000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Green,70.45,500,0.141,5400,32,3.5,SATA 3.0 Gb/s
OCZ Vertex 3,,120,,SSD,,2.5,SATA 6.0 Gb/s
Samsung 830,,256,,SSD,,2.5,SATA 6.0 Gb/s
Hitachi Ultrastar He8,309,8000,0.039,7200,128,3.5,SATA 6.0 Gb/s
Hitachi HDS723020BLA642,,2000,,7200,64,3.5,SATA 6.0 Gb/s
Kingston UV500B,,240,,SSD,,2.5,SATA 6.0 Gb/s
Intel MEMPEK1J032GAXT,,32,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
PNY CS2130,226.61,2000,0.113,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Cardea Zero Z330,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN550,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland QN322,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Netac NV3000,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
KIOXIA BG5,,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Leven JPS850,,4000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Purple Pro,337.89,18000,0.019,7200,512,3.5,SATA 6.0 Gb/s
Seagate Barracuda XT,,3000,,7200,64,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,69.99,3000,0.023,5400,128,3.5,SATA 6.0 Gb/s
Seagate ST2000NX0253,138.44,2000,0.069,7200,128,2.5,SATA 6.0 Gb/s
Lexar Professional NM800PRO w/Heatsink,89.99,1000,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
OCZ Colossus 2,995,460,2.163,SSD,,3.5,SATA 3.0 Gb/s
Western Digital Gold,206.45,10000,0.021,7200,256,3.5,SATA 6.0 Gb/s
Timetec 35TTQNM2SATA,107.99,2000,0.054,SSD,,M.2-2280,M.2 SATA
KingSpec NXM,42.99,512,0.084,SSD,,M.2-2242,M.2 PCIe 3.0 X4
Hitachi Ultrastar 7K3000,83.28,2000,0.042,7200,64,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Delta RGB Lite,,500,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Exos X18,237.99,10000,0.024,7200,256,3.5,SATA 6.0 Gb/s
Corsair MP600,,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,111.64,1000,0.112,7200,32,3.5,SATA 3.0 Gb/s
Western Digital Caviar Green,229,3000,0.076,5400,64,3.5,SATA 3.0 Gb/s
Intel Optane 905P,,380,,SSD,,M.2-22110,M.2 PCIe 3.0 X4
Crucial M500,167.99,240,0.7,SSD,,2.5,SATA 6.0 Gb/s
Crucial MX300,268.44,2050,0.131,SSD,,2.5,SATA 6.0 Gb/s
PNY XLR8 CS3030,299,2000,0.149,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf 125,,4000,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Exos 7E8 512e,264.5,8000,0.033,7200,256,3.5,SATA 6.0 Gb/s
Western Digital VelociRaptor,95.51,300,0.318,10000,16,3.5,SATA 3.0 Gb/s
SanDisk Solid State Drive,,128,,SSD,,2.5,SATA 6.0 Gb/s
Kingston Savage,,240,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue,,1000,,,64,2.5,SATA 6.0 Gb/s
ADATA Premier SP550,,120,,SSD,,2.5,SATA 6.0 Gb/s
Toshiba X300,,5000,,7200,128,3.5,SATA 6.0 Gb/s
Samsung SM961,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda Pro,,2000,,7200,128,3.5,SATA 6.0 Gb/s
Crucial BX500,,960,,SSD,,2.5,SATA 6.0 Gb/s
ADATA Swordfish,,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston KC2500,,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf NAS,94.99,3000,0.032,5400,256,3.5,SATA 6.0 Gb/s
ADATA LEGEND 800 GOLD,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X18,314.21,18000,0.017,7200,256,3.5,SAS 12.0 Gb/s
Toshiba MG07ACA12TE,269.99,12000,0.022,7200,256,3.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S70,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-FORCE Z44A5,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba N300 Pro,334.99,18000,0.019,7200,512,3.5,SATA 6.0 Gb/s
Western Digital Gold,97.45,2000,0.049,7200,128,3.5,SATA 6.0 Gb/s
Toshiba MG04ACA100N,78.06,1000,0.078,7200,128,3.5,SATA 6.0 Gb/s
Western Digital Purple,87.99,3000,0.029,5400,64,3.5,SATA 6.0 Gb/s
Silicon Power A58,,1000,,SSD,,2.5,SATA 6.0 Gb/s
Lexar NS100,,256,,SSD,,2.5,SATA 6.0 Gb/s
Inland Gaming Performance Plus,149.99,2000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Constellation ES,51,1000,0.051,7200,64,3.5,SATA 6.0 Gb/s
Sabrent Rocket Q,816.01,4000,0.204,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 PRO XT,179.99,2000,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda 540 w/Heatsink,,2000,,SSD,,M.2-2280,M.2 PCIe 5.0 X4
KingSpec XG7000,52.99,512,0.103,SSD,,M.2-2242,M.2 PCIe 4.0 X4
Hitachi Travelstar Z5K500,150,500,0.3,5400,8,2.5,SATA 3.0 Gb/s
Addlink S95,934.44,8000,0.117,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,79.99,3000,0.027,5400,256,3.5,SATA 6.0 Gb/s
Western Digital RE,107.99,5000,0.022,7200,128,3.5,SATA 6.0 Gb/s
Micron 1100,,512,,SSD,,M.2-2280,M.2 SATA
ADATA XPG SX8100,76.09,512,0.149,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba XG6,55,512,0.107,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Green,,1500,,7200,64,3.5,SATA 6.0 Gb/s
Kingston SSDNow E100,,200,,SSD,,2.5,SATA 6.0 Gb/s
Crucial MX200,,500,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue,,4000,,,64,3.5,SATA 6.0 Gb/s
Corsair Force LE,,240,,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,,8000,,7200,256,3.5,SATA 6.0 Gb/s
Corsair Force MP500,,120,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel 545s,,512,,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP L3 EVO,,240,,SSD,,2.5,SATA 6.0 Gb/s
Gigabyte GP-GSM2NE8256GNTD,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
Inland Professional,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
Seagate BarraCuda 120,,250,,SSD,,2.5,SATA 6.0 Gb/s
Enmotus FuzeDrive,,900,,SSD,24576,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Cardea II TUF Gaming Alliance,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos X16,,16000,,7200,256,3.5,SATA 6.0 Gb/s
Netac NV2000,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-FORCE G70 PRO Graphene,,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Klevv CRAS 910 Lite,,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Mushkin ELEMENT,182.99,2000,0.091,SSD,,2.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,299.99,16000,0.019,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Gold,419.99,20000,0.021,7200,512,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro Compute,28.73,500,0.057,7200,128,2.5,SATA 6.0 Gb/s
Sabrent Rocket 4.0,99.99,1000,0.1,SSD,,M.2-2230,M.2 PCIe 4.0 X4
MSI SPATIUM M470,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX200,397.77,500,0.796,SSD,,M.2-2260,M.2 SATA
Toshiba N300 Pro,238.44,10000,0.024,7200,512,3.5,SATA 6.0 Gb/s
Intel DC P3600,489.74,400,1.224,SSD,,PCIe,PCIe x4
Western Digital Purple,289.98,12000,0.024,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Black,,8000,,7200,256,3.5,SATA 6.0 Gb/s
Gigabyte M30,68.88,512,0.135,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Constellation ES.2,,3000,,7200,64,3.5,SATA 6.0 Gb/s
Western Digital Blue SN500,88.98,250,0.356,SSD,,M.2-2280,M.2 PCIe 3.0 X2
Seagate Exos 7E10 512n,197,6000,0.033,7200,256,3.5,SATA 6.0 Gb/s
Toshiba S300,89.99,1000,0.09,5700,64,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,,160,,7200,8,3.5,SATA 3.0 Gb/s
Samsung Spinpoint F2 EG,,500,,5400,16,3.5,SATA 3.0 Gb/s
Seagate Barracuda LP,118.77,2000,0.059,5900,32,3.5,SATA 3.0 Gb/s
Samsung 840,,120,,SSD,,2.5,SATA 6.0 Gb/s
Intel 530,199,240,0.829,SSD,,2.5,SATA 6.0 Gb/s
Crucial MX100,,128,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Surveillance HDD,,6000,,5400,128,3.5,SATA 6.0 Gb/s
SanDisk SSD PLUS,,240,,SSD,,2.5,SATA 6.0 Gb/s
Intel 750,,800,,SSD,,PCIe,PCIe x4
SanDisk Z400s,,128,,SSD,,2.5,SATA 6.0 Gb/s
Micron M600,,1000,,SSD,,2.5,SATA 6.0 Gb/s
Toshiba OCZ TR200,110,480,0.229,SSD,,2.5,SATA 6.0 Gb/s
Intel Optane 905P,,960,,SSD,,PCIe,PCIe x4
Silicon Power P34A80,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Transcend 220S,44.83,256,0.175,SSD,,M.2-2280,M.2 PCIe 3.0 X4
KIOXIA EXCERIA,,240,,SSD,,2.5,SATA 6.0 Gb/s
Netac NV7000,100.99,1000,0.101,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Netac NV7000-t,68.98,512,0.135,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate SkyHawk Surveillance +Rescue,179.99,8000,0.022,5400,256,3.5,SATA 6.0 Gb/s
Toshiba N300,189.99,10000,0.019,7200,256,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Create Classic,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Game Drive,107.53,1000,0.108,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda,89,500,0.178,,,2.5,SATA 6.0 Gb/s
HP EX950,179.99,2000,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA Falcon,,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Transcend 220S,97.16,1000,0.097,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN750 Rev2,409,2000,0.204,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro,,2000,,7200,128,3.5,SATA 6.0 Gb/s
Seagate SV35.5,,2000,,7200,64,3.5,SATA 6.0 Gb/s
Seagate Constellation ES.3,,2000,,7200,128,3.5,SATA 6.0 Gb/s
Kingston DC500M,784.47,3840,0.204,SSD,,2.5,SATA 6.0 Gb/s
GOODRAM PX700,,4096,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Green,,1000,,5400,64,3.5,SATA 3.0 Gb/s
Western Digital Scorpio Blue,89,80,1.113,5400,8,2.5,SATA 1.5 Gb/s
Hitachi 7K1000.C,118.18,500,0.236,7200,16,3.5,SATA 3.0 Gb/s
Samsung 830,,128,,SSD,,2.5,SATA 6.0 Gb/s
Hitachi Travelstar 5K1000,,1000,,5400,8,2.5,SATA 6.0 Gb/s
Crucial M500,,120,,SSD,,2.5,SATA 6.0 Gb/s
Hitachi Ultrastar 7K3000,157.79,3000,0.053,7200,64,3.5,SAS 6.0 Gb/s
Seagate ST3000DM002,,3000,,7200,64,3.5,SATA 6.0 Gb/s
SK Hynix SL308,,500,,SSD,,2.5,SATA 6.0 Gb/s
Kingston SSDNow UV400,,480,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Green,,240,,SSD,,M.2-2280,M.2 SATA
Hitachi Ultrastar He10,,10000,,7200,256,3.5,SATA 6.0 Gb/s
Seagate ST500VT000,,500,,5400,16,2.5,SATA 3.0 Gb/s
Seagate Enterprise Capacity,110.35,4000,0.028,7200,128,3.5,SATA 6.0 Gb/s
TEAMGROUP GX1,73.98,480,0.154,SSD,,2.5,SATA 6.0 Gb/s
Integral UltimaPro X2,,480,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS340 PANTHER,29.44,120,0.245,SSD,,2.5,SATA 6.0 Gb/s
Seagate FireCuda 510,388.42,2000,0.194,SSD,,M.2-2280,M.2 PCIe 3.0 X4
HP S700,42.41,250,0.17,SSD,,2.5,SATA 6.0 Gb/s
Leven JPS850,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital PC SN740 Opal,,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 CORE MINI,79.98,1000,0.08,SSD,,M.2-2230,M.2 PCIe 4.0 X4
Intel DC P4510,172.49,2000,0.086,SSD,,2.5,U.2
Patriot P400 Lite,233.99,4000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf 525,467.03,2000,0.234,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Transcend 250H,433.99,4000,0.108,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK SN770M,77.98,500,0.156,SSD,,M.2-2230,M.2 PCIe 4.0 X4
Western Digital RE,102.95,3000,0.034,7200,64,3.5,SATA 6.0 Gb/s
Inland Premium,280,4000,0.07,SSD,,M.2-2280,M.2 PCIe 3.0 X4
FanXiang S770,289.99,4000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Cardea Zero Z340,261.99,1000,0.262,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,231.58,3000,0.077,5400,128,2.5,SATA 6.0 Gb/s
Transcend SSD230S,39.99,256,0.156,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP CX1,31.99,480,0.067,SSD,,2.5,SATA 6.0 Gb/s
Samsung PM893,187.75,960,0.196,SSD,,2.5,SATA 6.0 Gb/s
Lexar Professional NM800PRO w/Heatsink,169.99,2000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Transcend 250S,356.09,4000,0.089,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Green,63.44,1000,0.063,5400,32,3.5,SATA 3.0 Gb/s
Sabrent Rocket,,2000,,SSD,,M.2-2242,M.2 PCIe 3.0 X4
Addlink S70,,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Addlink S20,64.98,1000,0.065,SSD,,2.5,SATA 6.0 Gb/s
Crucial M500,495,960,0.516,SSD,,2.5,SATA 6.0 Gb/s
Crucial MX300,,525,,SSD,,M.2-2280,M.2 SATA
Seagate SkyHawk,143,6000,0.024,5900,256,3.5,SATA 6.0 Gb/s
Sabrent Rocket Q4,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba X300 Pro,241.99,10000,0.024,7200,512,3.5,SATA 6.0 Gb/s
Toshiba N300,318.23,12000,0.027,7200,,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,,2000,,7200,64,3.5,SATA 6.0 Gb/s
Samsung 840,,250,,SSD,,2.5,SATA 6.0 Gb/s
Hitachi Travelstar 7K1000,,1000,,7200,32,2.5,SATA 6.0 Gb/s
Seagate Archive,,8000,,5900,128,3.5,SATA 6.0 Gb/s
Samsung 750 EVO,,120,,SSD,,2.5,SATA 6.0 Gb/s
Kingston SSDNow KC400,74.98,128,0.586,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue,,500,,SSD,,M.2-2280,M.2 SATA
Kingston A1000,,480,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland 2TB NVME PREMIUM,,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate FireCuda 120,,4000,,SSD,,2.5,SATA 6.0 Gb/s
Apacer AS340 PANTHER,,480,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Black SN750 Rev2,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte GP-GSM2NE3128GNTD,,128,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital PC SN740 Opal,,256,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba MG09 512e,299.99,16000,0.019,7200,512,3.5,SATA 6.0 Gb/s
Timetec 35TTQNM2SATA,62.55,1000,0.063,SSD,,M.2-2280,M.2 SATA
PNY XLR8 CS3040,329.99,2000,0.165,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NQ100,69,960,0.072,SSD,,2.5,SATA 6.0 Gb/s
Addlink A93 PS5,248.44,4000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power Slim S55,26.21,240,0.109,SSD,,2.5,SATA 6.0 Gb/s
Patriot Viper VPN110,177.93,2000,0.089,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Addlink S90 Lite,77.44,1000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WDBMMA0030HNC-NRSN,64.98,3000,0.022,5400,64,3.5,SATA 6.0 Gb/s
ADATA XPG SX8100,499.99,4000,0.125,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lenovo S4520,400.92,960,0.418,SSD,,3.5,SATA 6.0 Gb/s
Lexar NS100,129.99,2000,0.065,SSD,,2.5,SATA 6.0 Gb/s
Integral M2,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel 320,73,40,1.825,SSD,,2.5,SATA 3.0 Gb/s
Sabrent Rocket Q4,249.99,2000,0.125,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba S300,97.99,2000,0.049,5400,128,3.5,SATA 6.0 Gb/s
