name,price,style,switches,backlit,tenkeyless,connection_type,color
MSI VIGOR,,Gaming,Kailh BOX White,RGB,false,Wired,Black / Gray
HP 300,18.99,Standard,,,false,"Wired, Wireless",Black
Logitech MK295 Silent,,Standard,,,false,"Wired, Wireless",Black
Rosewill HKM100,15.93,Standard,,,false,Wired,Black
Corsair K65 PLUS,,Gaming,Corsair MLX Red Linear,RGB,true,"Wired, Wireless",Black
IQUNIX F97 Hitchhiker,239.99,Gaming,IQUNIX Moonstone,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
ENDORFY Thock,76.81,Gaming,Kailh Brown,RGB,true,Wired,Black
Logitech K200,97.73,Standard,,,false,Wired,Black
Logitech K750 Keyboard,49.99,Slim,,,false,Wireless,Silver / Black
Corsair K70 LUX,,Gaming,Cherry MX Brown,Red,false,Wired,Black
Zalman ZM-K380 Combo,34.99,Standard,,,false,Wired,Black
Logitech MK295 SILENT,,Standard,,,false,"Wired, Wireless",Black
Keychron K3 V2 Ultra-slim,83.99,Standard,Gateron Low-Profile Blue,White,true,"Wired, Wired, Bluetooth Wireless",Black / Gray
Corsair K55 CORE RGB,,Gaming,,RGB,false,Wired,Gray / Black
Asus ROG Strix Scope,129.99,Gaming,ROG RX Blue Optical,RGB,false,Wired,Black
Logitech Wave Keys,55,Ergonomic,,,false,"Wired, Wireless, Bluetooth Wireless",White
IQUNIX F97 Graffiti Diary,199.99,Gaming,TTC Gold Pink,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Multicolor
IQUNIX OG80 Wormhole,159.97,Gaming,TTC Speed Silver,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Green
IQUNIX F97 Hitchhiker,,Gaming,Cherry MX Brown,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
Logitech G19,,Standard,,Multicolor,false,Wired,Black
Gigabyte KM7580,,Slim,,,false,Wireless,Black
Dell 468-7408 Keyboard,,Standard,,,false,Wired,Black
Happy Hacking Professional 2,,Mini,Topre 45g,,true,Wired,Gray
Cooler Master CM Storm QuickFire TK,,Gaming,Cherry MX Blue,Blue,false,Wired,Black
Logitech MK120-TAA,,Standard,,,false,Wired,Black
Dell KB212-B,,Ergonomic,,,false,Wired,Black
Logitech G15,,Standard,,Red,false,Wired,Black / Gray
Corsair Raptor K30,,Gaming,,Red,false,Wired,Black / Silver
Perixx PERIBOARD-512B,,Ergonomic,,,false,Wired,Black
Corsair K70 RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Corsair K70,,Gaming,Cherry MX Red,Red,false,Wired,Black
G.Skill RIPJAWS KM780 RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Cooler Master MasterKeys Pro S,,Standard,Cherry MX Brown,RGB,true,Wired,Black
Logitech G610,,Gaming,Cherry MX Brown,White,false,Wired,Black
Razer Tartarus Chroma Expert,,Gaming,,RGB,false,Wired,Black
Cooler Master Lite L,,Gaming,,RGB,false,Wired,Black
SHARKOON Skiller Pro Plus,,Gaming,,Multicolor,false,Wired,Black
Asus ROG Claymore,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Gigabyte FORCE K83,,Standard,Cherry MX Red,,false,Wired,Black
Corsair K95 RGB,,Standard,Cherry MX Brown,RGB,false,Wired,Black
Corsair K66,,Gaming,Cherry MX Red,,false,Wired,Black
HP HyperX Alloy Elite RGB,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Happy Hacking Professional,,Mini,Topre 45g,,true,Bluetooth Wireless,Black
Topre Realforce RGB,,Gaming,Topre 45g,RGB,false,Wired,Black
Cooler Master MK850,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Adesso AKB-138EB,33.02,Gaming,,RGB,false,Wired,Black
DROP CTRL,,Gaming,Kailh Silver Speed,RGB,true,Wired,Silver / Black
Ducky Shine 7 Blackout RGB,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Leopold FC750R Black PD,,Standard,Cherry MX Red,,false,Wired,Black
RK Royal Kludge RK71,,Gaming,RK Blue,RGB,true,Bluetooth Wireless,White
Das Keyboard 4Q,199,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Logitech G715,,Gaming,GX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Keychron V6 QMK Knob,,Standard,Keychron K Pro Red,,false,"Wired, Wired",Translucent Black
Keychron K8,,Standard,Gateron Red Optical Hot-swappable,RGB,true,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,,Standard,Gateron G Pro Blue Hot-swappable,RGB,true,"Wired, Bluetooth Wireless",Black / Gray
Ducky ONE 3,,Gaming,Cherry MX Blue RGB,RGB,false,Wired,Black
Ducky ONE 3,,Gaming,Cherry MX Speed Silver RGB,RGB,false,Wired,Black
Ducky ONE 3,,Gaming,Cherry MX Brown RGB,RGB,false,Wired,Black
Ducky ONE 3 AURA,129,Gaming,Cherry MX Brown RGB,RGB,false,Wired,Black
Keychron Q1 Pro,,Standard,Keychron K Pro Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Silver / Gray
Keychron K3 Max,,Standard,Gateron Low-Profile Brown,White,true,"Wired, Bluetooth Wireless",Gray
Keychron K5 Pro,114.99,Gaming,Gateron Low-Profile Blue,RGB,false,"Wired, Bluetooth Wireless",White
Cooler Master CK550 V2,97,Gaming,TTC Blue,RGB,false,Wired,Black
Asus ROG Strix Scope,,Gaming,ROG NX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",
Logitech K380,49,Standard,,,true,Bluetooth Wireless,Gray
Corsair K65 PLUS,,Gaming,Corsair MLX Red Linear,RGB,true,"Wired, Wireless",Black
NZXT Function 2,,Gaming,NZXT Swift Optical 40g,RGB,true,"Wired, Wired",White
IQUNIX ZX75 Dark Side RS,189.99,Gaming,IQUNIX Moonstone Turbo,RGB,true,"Wired, Wireless, Bluetooth Wireless",Translucent Black
IQUNIX ZX75 Dark Side,189.99,Gaming,IQUNIX Moonstone,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
ENDORFY Thock,,Gaming,Kailh Brown,RGB,true,Wired,Black
Cooler Master CK720 US,82.55,Gaming,Kailh Box Red V2,RGB,true,Wired,Gray / Black
A4Tech 9300F,,Ergonomic,,,false,Wireless,Black
Microsoft Comfort Desktop 5050,,Ergonomic,,,false,Wireless,Black
V7 CKU200US,27.2,Standard,,,false,Wired,Black
Logitech K845,,Standard,Cherry MX Blue,White,false,Wired,Black
Razer DeathStalker V2,199.99,Gaming,Razer Purple Low-Profile Optical Clicky,RGB,false,Wired,Black
Keychron K3 Max,109.99,Standard,Gateron Low-Profile Red,RGB,true,"Wired, Bluetooth Wireless",Gray
Cherry G80-8113LUVEU-2,299,Standard,,,false,Wired,Black
Logitech G915 Lightspeed,,Gaming,Logitech GL Tactile,RGB,false,"Wireless, Bluetooth Wireless",Black
Cooler Master SK622,76.63,Gaming,TTC Blue Low Profile,RGB,true,"Wired, Bluetooth Wireless",White / Silver
Lenovo Preferred Pro,44.99,Standard,,,false,Wired,Black
i-rocks RF-6577L-BK,24.99,Slim,,,false,Wireless,Black / Silver
Corsair K70 RAPIDFIRE,99.99,Gaming,Cherry MX Speed Silver,Red,false,Wired,Black
Logitech K780,59.99,Slim,,,false,Wireless,Black
Corsair K83,,Standard,,White,true,Wireless,Gray
Adesso AKB-636UB,,Standard,Kailh Blue,,false,Wired,Black
Tempest Diablo,,Gaming,Content Red,RGB,false,Wired,Black
Asus ROG Strix Flare II,169.99,Gaming,ROG NX Brown,RGB,false,Wired,Black
Targus AKB864US,33.34,Slim,,,false,Bluetooth Wireless,Black
SteelSeries Apex Pro Mini Wireless,,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wireless, Bluetooth Wireless",Black
IQUNIX F97 Hitchhiker,239.99,Gaming,IQUNIX Moonstone Turbo,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
IQUNIX OG80 Dark Side,159.99,Gaming,IQUNIX Moonstone,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
SolidTek KB-730BU,65,Mini,,,false,Wired,Black
SIIG JK-US0012-S1,11.99,Standard,,,false,Wired,Black
Filco Ninja Majestouch-2,134.8,Standard,Cherry MX Red,,false,Wired,Black
A4Tech KD-126,22.99,Standard,,Blue,false,Wired,Black
Thermaltake POSEIDON ZX,,Standard,Kailh Blue,Blue,true,Wired,Black
Thermaltake Knucker Team DK Edition,34.98,Gaming,,,false,Wired,Red / White
SMK-Link VP3810,19.98,Standard,,,false,Wired,Black
Microsoft Sculpt Ergonomic Desktop,,Ergonomic,,,false,Wireless,Black
Lenovo Preferred Pro II,27.68,Standard,,,false,Wired,Black
HP Pavilion 500,138.97,Gaming,Gateron Red,Multicolor,false,Wired,Black
Logitech K845,,Standard,Cherry MX Red,White,false,Wired,Black
Cooler Master SK653,110.34,Gaming,TTC Red Low Profile,RGB,false,Bluetooth Wireless,White / Silver
Asus ROG Strix Scope RX EVA Edition,,Gaming,ROG RX Blue Optical,RGB,false,Wired,Purple / Green
Corsair K60 RGB Pro,,Gaming,Corsair OPX,RGB,true,Wired,Black
Kinesis Gaming Freestyle2 Blue,99,Ergonomic Split,,,true,"Wired, Bluetooth Wireless",Black
Keychron C2 Pro V1,,Standard,Keychron K Pro Red,RGB,false,Wired,Black / Gray
Ducky ONE 3,,Gaming,Cherry MX Blue RGB,RGB,false,Wired,Gray / White
Corsair K70 CORE,,Gaming,Corsair MLX Red Linear,RGB,false,Wired,Black
SteelSeries Apex Pro TKL (2023),,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
Keychron K17 Pro,,Standard,Gateron Low-Profile Red (Hot-Swappable),RGB,false,"Wired, Bluetooth Wireless",Black / Red
Razer Ornata V3,,Gaming,,RGB,false,Wired,Black
Razer Ornata V3,,Gaming,,RGB,true,Wired,Black
Corsair K55 CORE RGB,,Gaming,,RGB,false,Wired,Black
Cooler Master CK530 V2,73.31,Gaming,TTC Blue,RGB,true,Wired,Black
AZIO IZO,98.89,Standard,Gateron Red,,true,"Wired, Bluetooth Wireless",Black / Gray
iKBC CD87 V2,76.98,Standard,Cherry MX Blue,,true,Wired,Black
SteelSeries Apex 3 (2020),105.46,Gaming,,RGB,false,Wired,Black
ENDORFY Thock,,Gaming,Kailh Red,RGB,true,Wired,Black
ENDORFY Thock,,Gaming,Kailh Blue,RGB,true,Wired,Black
Wintec FileMate Imagine K2210,,Standard,,,false,Wired,Orange / White
Razer Lycosa,,Gaming,,Blue,false,Wired,Black
Kensington 64370,16.99,Standard,,,false,Wired,Black
Microsoft Natural Keyboard Elite,269.95,Ergonomic,,,false,Wired,Black
Microsoft B2L-00002,212.92,Ergonomic,,,false,Wired,Black
Adesso AKB-131HB,19.98,Standard,,,false,Wired,Black
Razer BlackWidow Ultimate Battlefield 3 Edition,,Gaming,Cherry MX Blue,Orange,false,Wired,Black
SteelSeries 6Gv2,,Standard,Cherry MX Black,,false,Wired,Black
Dell 0DJ415,,Standard,,,false,Wired,Black
Microsoft L2 Sculpt Comfort Keyboard,,Ergonomic,,,false,Wireless,Black
HP B1T09AT#ABA,23.56,Standard,,,false,Wired,Black
Samsung Keyboard,,Slim,,,true,Bluetooth Wireless,Black
Razer Nostromo,,Gaming,,Blue,true,Wired,Black
matias Laptop Pro for Mac,,Mini,ALPS White,,true,Wired,Black / Silver
A4Tech KRS-85,,Standard,,,false,Wired,Black
Adesso AKB-132PB,13.99,Standard,,,false,Wired,Black
Corsair Vengeance K70,,Gaming,Cherry MX Blue,Red,false,Wired,Black
Razer Blackwidow Ultimate 2014,,Gaming,Razer Green,Green,false,Wired,Black
Razer Blackwidow Ultimate 2014 Stealth Edition,,Gaming,Razer Orange,Green,false,Wired,Black
Cooler Master CM Storm Devastator Gaming Bundle,,Gaming,,Red,false,Wired,Black
Topre Realforce 104UG High Profile,,Standard,Topre 45g,,false,Wired,Black / Gray
Corsair K70 RGB,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Corsair K95,,Gaming,Cherry MX Red,White,false,Wired,Black
Corsair K95 RGB,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Thermaltake CHALLENGER PRIME,,Gaming,,Multicolor,false,Wired,Black
ROCCAT RYOS TKL PRO,,Gaming,Cherry MX Brown,Blue,true,Wired,Beige / Gray
BlueFinger CM200,,Gaming,,Multicolor,false,Wired,Black
Corsair STRAFE,,Gaming,Cherry MX Blue,Red,false,Wired,Black
Logitech K380,,Mini,,,true,Bluetooth Wireless,Blue
Xtrfy XG1-R-LED-UK,,Standard,Cherry MX Red,White,false,Wired,Black
Razer Blackwidow X Chroma,,Gaming,Razer Green,RGB,false,Wired,Black
Corsair STRAFE MX Silent,,Gaming,Cherry MX Silent,Red,false,Wired,Black
1STPLAYER FIRE ROSE MK3,,Gaming,Outemu Blue,RGB,false,Wired,White
ROCCAT Skeltr,,Gaming,,RGB,false,Wired,White
HP HyperX Alloy FPS,,Standard,Cherry MX Red,Red,false,Wired,Black
Trust GXT 280,,Gaming,,Multicolor,false,Wired,Black
Genius SlimStar 130,,Standard,,,false,Wired,Black
Razer Blackwidow Tournament Edition Stealth,,Gaming,Razer Orange,White,true,Wired,Black
Logitech MK520,39.47,Slim,,,false,Wireless,Black
HP HyperX Alloy Elite,,Gaming,Cherry MX Brown,Red,false,Wired,Black
HP HyperX Alloy Elite RGB,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Tesoro Gram Spectrum (White w/Blue Switches),,Gaming,Tesoro Agile Blue,RGB,false,Wired,White
Logitech G512 CARBON,,Gaming,Romer-G Linear,RGB,false,Wired,Black
Ducky One 2 Mini,,Standard,Cherry MX Black,RGB,true,Wired,White / Black
Ducky One 2 RGB,,Standard,Cherry MX Brown,RGB,false,Wired,Black
Cooler Master CK530,140.69,Gaming,Gateron Brown,RGB,true,Wired,Black
Redragon K551-R,,Gaming,Outemu Blue,RGB,false,Wired,Black
Drevo Tyrfing V2,,Gaming,Outemu Black,RGB,false,Wired,Black
Drevo BladeMaster PRO,,Gaming,Cherry MX Silent Red,RGB,true,Wireless,Gray
iKBC CD108,,Gaming,Cherry MX Brown,,false,Wired,Black
HP Business Slim,58.91,Slim,,,false,Wired,Black
Thermaltake Tt eSports Meka Pro,94.98,Gaming,Cherry MX Blue,Red,false,Wired,Black
DROP CTRL,,Gaming,Kailh Halo Clear,RGB,true,Wired,Silver / Black
Corsair K95 RGB PLATINUM XT,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Redragon K551-RGB,,Gaming,Outemu Blue,RGB,false,Wired,Black
Cherry MX BOARD 1.0 BACKLIGHT,,Standard,Cherry MX Silent Red,White,false,Wired,Black
Kinesis Gaming Freestyle Edge,199,Ergonomic Split,Cherry MX Red,RGB,true,Wired,Black
Wooting Two Lekker Edition,,Gaming,Lekker linear65,RGB,false,Wired,Blue / White
Logitech G Pro X Shroud,,Gaming,Logitech GX Red Linear,RGB,true,Wired,Black
Corsair K65 RGB MINI WATERMELON BLAST,,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Pink / Green
Corsair K65 RGB MINI HINT OF MINT,,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Green / White
Razer BlackWidow V3 - BAPE Edition,,Gaming,Razer Green,RGB,false,Wired,Black / Green
Corsair K65 RGB MINI Pink Elixir,,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Pink / White
Asus ROG Strix Scope,119.99,Gaming,ROG NX Brown,RGB,true,Wired,White / Gray
Logitech MX KEYS MINI,,Mini,,,true,"Wired, Wireless, Bluetooth Wireless",Gray
Kinesis Gaming Freestyle2,89,Ergonomic Split,,,true,Wired,Black
MSI ‎VIGOR GK71 SONIC BLUE,,Gaming,MSI Sonic Blue,RGB,false,Wired,Black
Razer BlackWidow V4 Pro,,Gaming,Razer Green,RGB,false,Wired,Black
Keychron K8,,Standard,Gateron G Pro Brown Hot-swappable,White,true,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,,Standard,Gateron G Pro Red,RGB,true,"Wired, Bluetooth Wireless",Black / Gray
Perixx PERIBOARD-106,,Standard,,,false,Wired,White
Cooler Master CK720 US,74.5,Gaming,Kailh Box Brown V2,RGB,true,Wired,Gray / Black
Keychron C2 Pro V1,,Standard,Keychron K Pro Brown,RGB,false,Wired,Black / Gray
Ducky ONE 3 Daybreak,,Gaming,Cherry MX Red RGB,RGB,false,Wired,Blue
Keychron K6 Aluminum Frame,,Standard,Gateron G Pro Red,RGB,true,"Wired, Bluetooth Wireless",Black / Gray
Keychron Q1 Pro Special Edition,,Standard,Keychron K Pro Banana,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Keychron K5 Pro,,Gaming,Gateron Low-Profile Brown,White,false,"Wired, Bluetooth Wireless",Black / Red
Keychron K7 Pro,119.99,Standard,Gateron Low-Profile Brown (Hot-Swappable),RGB,true,"Wired, Bluetooth Wireless",Black / Red
Keychron K13 Pro,99.99,Standard,Gateron Low-Profile Brown,White,true,"Wired, Bluetooth Wireless",Black / Red
Keychron K17 Pro,,Standard,Gateron Low-Profile Brown (Hot-Swappable),RGB,false,"Wired, Bluetooth Wireless",Black / Red
Corsair K55 CORE RGB,,Gaming,,RGB,false,Wired,Black
HP 450,44.01,Standard,,,false,"Wired, Wireless",Black
Kensington K755,29.99,Standard,,,true,"Wired, Wireless, Bluetooth Wireless",Black
Kensington K70316US,54.99,Standard,,,false,Wired,Black
SteelSeries Apex 9 Mini,,Gaming,SteelSeries OptiPoint Linear,RGB,true,Wired,Black
SteelSeries Apex Pro Mini,,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
Logitech K380,,Standard,,,true,Bluetooth Wireless,White
Logitech MX Keys,149,Mini,,,true,"Wired, Wired, Wireless, Bluetooth Wireless",
Microsoft LXN-00001,,Ergonomic,,,false,Wired,Black
NZXT Function 2,,Gaming,NZXT Swift Optical 40g,RGB,false,"Wired, Wired",Black
NZXT Function 2,,Gaming,NZXT Swift Optical 40g,RGB,true,"Wired, Wired",White
NZXT Function 2,,Gaming,NZXT Swift Optical 40g,RGB,true,"Wired, Wired",Black
IQUNIX F97 Hitchhiker,,Gaming,Cherry MX Red,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
IQUNIX F97 Hitchhiker,,Gaming,Cherry MX Brown,,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
IQUNIX A80 Explorer,,Gaming,Cherry MX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black / Orange
Keychron V1 Max,,Mini,Gateron Jupiter Banana,,true,"Wired, Wired, Wireless, Bluetooth Wireless",Black / Blue
Cherry G84-4100LCMUS-0,69.98,Mini,Cherry ML,,false,Wired,White
Rosewill BLITZ K50 RGB,69,Gaming,Outemu Blue,RGB,false,Wired,Black / Silver
Microsoft 21Y-00001,37.99,Mini,,,true,"Wired, Wireless, Bluetooth Wireless",Black
Microsoft B2M-00014,,Ergonomic,,,false,Wired,Black / Silver
Adesso WKB-1100CB,27.26,Mini,,,false,Wireless,Black
Das Keyboard Model S Professional,129,Standard,Cherry MX Blue,,false,Wired,Black
Asus ROG Falchion,149.99,Gaming,ROG NX Brown,RGB,true,"Wired, Wireless",Black
HP 355,31.41,Standard,,,true,Bluetooth Wireless,Black
SteelSeries Apex 9 TKL,,Gaming,SteelSeries OptiPoint Linear,RGB,true,Wired,Black
YEYIAN Flare 2000,45.99,Gaming,Outemu Blue,RGB,false,Wired,Black
Kensington Pro Fit,26.64,Standard,,,false,Wired,Black
Favi FE01-BL,28.99,Mini,,,true,Wireless,Black
Perixx PERIBOARD-409H,,Mini,,,false,Wired,Black
Corsair K70 LUX RGB,,Gaming,Cherry MX Silent,RGB,false,Wired,Black
Kensington Pro Fit Ergo,39.82,Ergonomic,,,false,Wireless,Black
ROCCAT Suora FX,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Logitech MK540 ADVANCED,,Standard,,,false,"Wired, Wireless",Black
Logitech POP Keys Blast,,Mini,TTC Brown,,true,"Wireless, Bluetooth Wireless",Yellow / Black
Cooler Master CK721,,Gaming,TTC Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black / Gray
Cooler Master CK550 V2,149,Gaming,TTC Brown,RGB,false,Wired,Black
Adesso AKB-139EB,31.96,Gaming,,Blue,false,Wired,Black
YEYIAN Akil 3500,42.99,Standard,Outemu Red,RGB,true,"Wired, Wired",Black
Corsair Vengeance K95,,Gaming,Cherry MX Red,Blue,false,Wired,Black
Adesso Waterproof Flex Keyboard,17.98,Slim,,,false,Wired,Black
Das Keyboard 4 Professional,179,Standard,Cherry MX Blue,,false,Wired,Black / Red
Kensington K72357USA,28.96,Slim,,,false,Wired,Black
Das Keyboard 4 Professional for Mac,179,Standard,Cherry MX Brown,,false,Wired,Black / Purple
Corsair STRAFE RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Razer BlackWidow Tournament Edition Chroma,,Gaming,Razer Green,RGB,true,Wired,Black
Patriot Viper V760,,Gaming,Kailh Brown,RGB,false,Wired,Black
Ducky One 2 RGB,,Standard,Cherry MX Speed Silver,RGB,false,Wired,Black
Ducky One 2 (MX Brown),,Gaming,Cherry MX Brown,Blue,false,Wired,Black
Corsair K70 LUX (MX Red),,Gaming,Cherry MX Red,Red,false,Wired,Black
HP Slim,59.99,Slim,,,false,Wireless,Black
Inland 70119,21.89,Standard,,,false,Wireless,Black
ROCCAT Horde AIMO,67.98,Gaming,,RGB,false,Wired,Gray
Kinesis Gaming Freestyle Edge,209,Ergonomic Split,Cherry MX Speed Silver,RGB,true,Wired,Black
Cooler Master SK620,67.08,Gaming,TTC Brown,RGB,true,Wired,Gray / Black
Cooler Master SK653,144.72,Gaming,TTC Blue Low Profile,RGB,false,Bluetooth Wireless,White / Silver
Logitech G413 SE,,Gaming,Kailh LT Brown,White,true,Wired,Black
Logitech G715,,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Keychron K1 SE,,Standard,Keychron Optical Red Low Profile,RGB,true,"Wired, Bluetooth Wireless",Black / Gray
Cooler Master CK720 US,99.99,Gaming,Kailh Box White V2,RGB,true,Wired,Silver / White
Ducky ONE 3,,Gaming,Cherry MX Red RGB,RGB,false,Wired,Black
Ducky ONE 3 AURA,,Gaming,Cherry MX Blue RGB,RGB,false,Wired,Black
Razer Huntsman V3 Pro,,Gaming,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Razer Huntsman V3 Pro Mini,,Mini,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Keychron K3 Max,109.99,Standard,Gateron Low-Profile Brown,RGB,true,"Wired, Bluetooth Wireless",Gray
Keychron K3 V2 Ultra-slim,84.99,Standard,Keychron Optical Brown Low Profile (Hot-Swappable),RGB,true,"Wired, Wired, Bluetooth Wireless",Black / Gray
Corsair K55 CORE RGB,,Gaming,,RGB,false,Wired,Black
AZIO IZO,81.99,Standard,Gateron Red,,true,"Wired, Bluetooth Wireless",Pink / White
Dell KM7120W,73.98,Standard,,,false,"Wired, Wireless",Black / Gray
IOGEAR GKB740,44.99,Gaming,,RGB,false,Wired,Black
SteelSeries Apex Pro Mini,,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
Logitech K380,35.98,Standard,,,true,Bluetooth Wireless,Pink
Logitech MK295 Silent,,Standard,,,false,"Wired, Wireless",Black
IQUNIX OG80 Wormhole,169.99,Gaming,TTC Gold Pink,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Green
IQUNIX OG80 Dark Side,159.99,Gaming,IQUNIX Moonstone Turbo,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
IQUNIX F97 Hitchhiker,,Gaming,Cherry MX Red,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
Apple MB110LL/B,,Standard,,,false,Wired,White
Razer Blackwidow Ultimate Dragon Age II Edition,,Gaming,Cherry MX Blue,Red,false,Wired,Black
Razer BlackWidow Ultimate,,Gaming,Cherry MX Blue,Blue,false,Wired,Black
Microsoft SIDEWINDER X4,,Gaming,,Red,false,Wired,Black
Gear Head KB2500U,,Slim,,,false,Wired,Black
Microsoft 3XJ-00001,,Ergonomic,,,false,Wired,Black
Microsoft J9C-00001,258.38,Ergonomic,,,false,Wired,Black / Silver
Acer Iconia Tab,,Mini,,,true,Bluetooth Wireless,Black
Cherry STREAM XT,,Standard,,,false,Wired,Black
KeyTronic KT400U1,,Standard,,,false,Wired,Beige
Adesso ACK-730B,,Standard,,,false,Wired,Black
Cooler Master Storm QuickFire Rapid,,Gaming,Cherry MX Blue,,true,Wired,Gray / Black
Logitech Wireless Combo MK260,,Standard,,,false,Wireless,Black
Logitech Wave Pro Desktop,218,Ergonomic,,,false,Wireless,Black
Cherry G84-5400LUMEU-2,135.99,Slim,Cherry ML,,false,Wired,Black
Dell 0DJ425,,Standard,,,false,Wired,Black
Mionix Zibal 60,,Gaming,Cherry MX Black,Green,false,Wired,Black
Unitech K595U-B Mini POS Keyboards,,Mini,,,false,Wired,Black
IOGEAR Smart Card Reader Keyboard (TAA Compliant),59,Standard,,,false,Wired,Black
Cherry G80-11900 Series Compact Keyboard,,Standard,,,false,Wired,Gray
Buslink RF-6572L-WH,,Standard,,,false,Wireless,White
Motorola Wireless Keyboard With Trackpad,,Mini,,,true,Bluetooth Wireless,Black
SteelSeries 6GV/2,,Standard,Cherry MX Red,,false,Wired,Black
Filco Ninja Majestouch-2,,Standard,Cherry MX Brown,,true,Wired,Black
Happy Hacking Professional 2 Type S,,Standard,Topre 45g Silent,,true,Wired,White
Cooler Master CM Storm Quick Fire TK,,Gaming,Cherry MX Red,Red,false,Wired,Black
Cooler Master CM Storm QuickFire Stealth,,Mini,Cherry MX Brown,,true,Wired,Black
Corsair Raptor K50,,Gaming,,RGB,false,Wired,Black
Vortex POKER,,Mini,Cherry MX Red,,true,Wired,Black
"Logitech Wireless Solar Keyboard K760 for Mac, iPad and iPhone",,Mini,,,true,Bluetooth Wireless,White
Cooler Master CM Storm QuickFire XT,,Slim,Cherry MX Brown,,false,Wired,Black
Ducky DK9008 Shine 3 Magenta LED Backlit (Brown Cherry MX),,Standard,Cherry MX Brown,Purple,false,Wired,Black
Ducky DK9087 Shine 3 TKL Blue LED Backlit (Red Cherry MX),,Standard,Cherry MX Red,Blue,true,Wired,Black
Razer DeathStalker Ultimate,,Gaming,,,false,Wired,Black
Genius KB-110X,,Standard,,,false,Wired,Black
AZIO KB506,,Standard,,Multicolor,false,Wired,Black
AZIO PRISM,,Slim,,Multicolor,false,Wired,Black
Logitech Keyboard and Mouse,,Ergonomic,,,false,Wireless,Black
AZIO MGK1,,Gaming,Kailh Blue,White,false,Wired,Gunmetal
Rii Mini i8,,Mini,,,true,Wireless,Black / White
Microsoft Designer Bluetooth Desktop,,Slim,,,false,Bluetooth Wireless,Black
AZIO HUE,,Slim,,,false,Wireless,Green / White
Vortex POK3R,,Mini,Cherry MX Brown,,false,Wired,Black
Redragon Karura K502,,Gaming,,RGB,false,Wired,Black
AmazonBasics KU-0833,,Standard,,,false,Wired,Black
Cooler Master MasterKeys Pro S,,Standard,Cherry MX Blue,RGB,true,Wired,Black
Cooler Master MasterKeys Pro S,,Standard,Cherry MX Red,RGB,true,Wired,Black
Varmilo VA87MNN/EBW3,,Standard,Cherry MX Brown,,true,Wired,Black / White
Qisan Magicforce,,Mini,Outemu Brown,,true,Wired,White
ROCCAT Skeltr,158.19,Gaming,,RGB,false,Wired,Black
Alienware AW568,,Gaming,Kailh Brown,,false,Wired,Black
SteelSeries Apex M750,,Gaming,SteelSeries QX2 Red,RGB,false,Wired,Black
Cougar Vantar,,Gaming,,RGB,false,Wired,Black
Cooler Master MasterKeys MK750 (MX Brown),,Gaming,Cherry MX Brown,RGB,false,Wired,Black
