name,price,type,frequency_response,microphone,wireless,enclosure_type,color
Final E1000,29.99,Earbud,,false,false,Closed,Black
Final E4000,159,Earbud,,false,false,Closed,Black
Astro Gaming A10,,Circumaural,"20,20",true,false,Closed,Black / Green
Corsair HS70 Bluetooth,,Circumaural,"20,20",true,true,Closed,Black
HiFiMAN Edition S,,Circumaural,"15,22",true,false,Closed,White
HiFiMAN RE300h,42.1,Earbud,"15,22",false,false,Closed,Black
Tempest Caesar RGB,,Circumaural,,true,true,Closed,Black
Corsair HS35,,Circumaural,"20,20",true,false,Closed,Black / Green
MSI Immerse GH20,39.94,Circumaural,"29,20",true,false,Closed,Black
AKG K361-BT,165,Circumaural,"15,28",true,true,Closed,Black
AOC GH401,,Circumaural,"20,20",true,true,Closed,Red / Black
Logitech G335,69.98,Circumaural,"20,20",true,false,Closed,Green / Purple
HP HyperX Cloud Core w/7.1 Dongle,,Circumaural,"15,25",true,false,Closed,
AKG N700NC M2,,Circumaural,"10,20",true,true,Closed,Black
HP HyperX Cloud Stinger,,Circumaural,"18,23",true,false,Closed,Pink / Gray
HP HyperX Cloud Stinger - Xbox,,Circumaural,"18,23",true,false,Closed,Black / Green
Asus TUF Gaming H7,,Circumaural,"20,20",true,false,Closed,Black / Yellow
Logitech ASTRO A30 LIGHTSPEED (Playstation/PC),,Circumaural,"20,20",true,true,Closed,Blue / Black
Samsung Buds2,129.99,In Ear,,true,true,Closed,Black
Beyerdynamic MMX 150,,Circumaural,"5,30",true,false,Closed,Gray
Beyerdynamic MMX 150,,Circumaural,"5,30",true,false,Closed,Black
Creative Labs SXFI Gamer,,Circumaural,"20,20",true,false,Closed,Black
HP OMEN Blast,,Circumaural,"20,20",true,false,Closed,Black
Razer Kraken (2019),,Circumaural,"12,28",true,false,Closed,White / Black
Audio-Technica ATH-TWX7,182.77,Earbud,"10,40",true,true,Closed,Gray
Apple AirPods Max (2024),449.99,Circumaural,,true,true,Closed,Orange
Apple AirPods Max (2024),449.99,Circumaural,,true,true,Closed,Purple
Corsair HS80 RGB,158.38,Circumaural,"20,40",true,true,Closed,White / Gray
Sennheiser PC 5 CHAT,19.89,Supra-aural,"42,17",true,false,Closed,Black
Mad Catz F.R.E.Q. 4,43.28,Circumaural,"20,20",true,false,Closed,Black / Red
Sennheiser PC 8,28.59,Supra-aural,,true,false,Closed,Black
ROCCAT Syn Pro Air,94.65,Circumaural,"20,20",true,true,Closed,Black
Sony MDR-ZX100/WHT,,Supra-aural,"12,22",false,false,Closed,White
Koss PortaPro,,Supra-aural,"15,25",false,false,Open,Black / Blue
Yamaha EPH-20PI,9.99,In Ear,"20,21",false,false,Closed,Black / Pink
Pioneer SE-MJ721I-W,26.95,Supra-aural,"6,28",false,false,Closed,White
Pioneer SE-MJ751I,24.95,Supra-aural,"8,28",false,false,Closed,Black
Koss R/80,39.99,Circumaural,,false,false,Closed,Black
Syba CL-AUD63033,9.99,Circumaural,"20,20",true,false,Closed,White / Silver
RCA RCAHP5043,19.98,Circumaural,,false,false,Semi-open,Black / Silver
Beyerdynamic DT 880 Premium 250 Ohm,,Circumaural,"5,35",false,false,Semi-open,Black / White
Gear Head AU2200BN,,Supra-aural,"50,20",true,false,Closed,Black / Silver
Philips SHL5200WT/28,49.99,Supra-aural,"20,20",false,false,Closed,White
Razer Kraken Forged,109.99,Circumaural,"20,20",true,false,Closed,Black / Silver
Razer Kraken Forged,109.99,Circumaural,"20,20",false,false,Closed,Black / Silver
Mad Catz F.R.E.Q.4D,19,Circumaural,"20,20",false,false,Closed,Black / Silver
1MORE Quad Driver,109.99,In Ear,"20,40",true,false,Closed,Black / Red
Monoprice Monolith M1060,199.99,Circumaural,"10,50",false,false,Open,Black / Brown
Acer Predator Galea 350,,Circumaural,"20,20",true,false,Closed,Black
Sennheiser GSP 550,,Circumaural,"10,30",true,false,Semi-open,Green / Black
JBL Quantum 100,44.95,Circumaural,"20,20",true,false,Closed,Blue
AKG K371,169.95,Circumaural,"5,40",true,true,Closed,Black
Sony MDR-ZX310W,43.47,Supra-aural,"10,24",false,false,Closed,White / Silver
HiFiMAN RE600S V2 Songbird,74.9,In Ear,"15,22",false,false,Closed,Black
Lenovo Legion H500 Pro,71.98,Circumaural,"20,20",true,false,Closed,Black / Blue
Razer Kaira for Xbox,99.99,Circumaural,"20,20",true,true,Closed,White / Black
EPOS H6PRO,179,Circumaural,"20,20",true,false,Open,Green / Gold
SHARKOON SKILLER SGH50,84.84,Circumaural,"10,40",true,false,Closed,Black
Creative Labs Sound Blaster Blaze,,Circumaural,"20,20",true,false,Closed,Black / Red
JVC HA-A6T,28.74,Earbud,"20,20",true,true,Closed,Black
JVC HA-A6T,29.95,Earbud,"20,20",true,true,Closed,Green
Logitech ASTRO A10,69.99,Circumaural,"20,20",true,false,Closed,Green
Razer Kraken (2019),99.95,Circumaural,"12,28",true,false,Closed,Black / Blue
Koss KPH30i,,Supra-aural,"15,25",true,false,Open,White / Blue
Genius GHP-400S-Pink,,Supra-aural,"20,20",false,false,Closed,White / Pink
Audio-Technica ATH-A700X,,Circumaural,"5,35",true,false,Closed,Black / Blue
Audio-Technica ATH-ANC7B,,Circumaural,"10,25",false,false,Closed,Black
Audio-Technica ATH-ANC9,,Circumaural,"10,25",false,false,Closed,Black
Audio-Technica ATH-M50WH,,Circumaural,"15,28",false,false,Closed,White
Denon AH-D 340,,Supra-aural,"7,37",false,false,Closed,Black / Silver
Sennheiser 502875,,Circumaural,"18,21",false,true,Open,Black / Silver
Sennheiser HD 25-1 II,,Supra-aural,"16,22",false,false,Closed,Black
Sennheiser CC550,,Supra-aural,"300,3.4",true,false,Closed,Black
Sennheiser CXC 700,,In Ear,"20,21",false,false,Closed,Black
Sennheiser HD 202 II,,Circumaural,"18,18",false,false,Closed,Black
Sennheiser HD 800,,Circumaural,"6,51",false,false,Open,Black / Silver
Skullcandy S2FFFM-074,,In Ear,"20,20",true,false,Closed,Black / Silver
Skullcandy S2FFFM-319,,In Ear,"20,20",true,false,Closed,Black / Green
Sony ASONMDRNC100K1,,Earbud,,false,false,Closed,Black
Sony MDR-XB500,,Supra-aural,"4,24",false,false,Closed,Black / Silver
Sony MDRNC200D,,Supra-aural,"8,23",false,false,Closed,Black
Sony MDRNC8WHI,,Supra-aural,"30,20",false,false,Closed,White
Sony XBA2VP,,In Ear,"4,25",true,false,Closed,Black / Silver
Coby CV-320,,Circumaural,,false,false,Closed,Silver / Black
M-Audio Studiophile Q40,,Circumaural,"10,20",false,false,Closed,Black
Zalman ZM-RS6F,,Circumaural,"50,20",false,false,Closed,Black
Astro A40 + MixAmp Pro - Black,,Circumaural,"15,28",true,false,Closed,Black / White
Asus Orion Pro,,Circumaural,"20,20",true,false,Closed,Black / Red
Creative Labs Sound Blaster Tactic 3D Alpha,,Circumaural,,true,false,Closed,Black
Creative Labs Sound Blaster Tactic 3D Sigma,,Circumaural,"20,20",true,false,Closed,Black
Creative Labs Sound Blaster EVO,,Circumaural,,false,false,Closed,Black / Red
Logitech H800,,Supra-aural,"30,15",true,false,Closed,Black
Logitech G230,,Circumaural,"20,20",true,false,Closed,Black / Red
Mad Catz Kunai,,Supra-aural,"20,20",true,true,Closed,Black
Mad Catz TRIAX180,,Circumaural,"25,22",true,false,Closed,Black
Razer Electra Essential Gaming & Music Headset,,Circumaural,"25,16",true,false,Closed,Black
Razer Carcharias,,Circumaural,"20,20",true,false,Closed,Black
Sennheiser DW Pro2,,Supra-aural,,true,false,Closed,Black / Silver
Sennheiser PC 310,,Supra-aural,"17,22",true,false,Closed,Black
Sennheiser PC 320,,Circumaural,"15,230",true,false,Closed,Black
SteelSeries Siberia v2,,Circumaural,"18,28",true,false,Closed,Black / White
SteelSeries 3H,,Circumaural,"10,27",true,false,Closed,Black
Turtle Beach EarForce Z2,,Circumaural,,true,false,Closed,Black / White
Turtle Beach Z22,,Circumaural,,true,false,Closed,Black / Red
AKG K242HD,,Circumaural,"15,25",false,false,Semi-open,Black / Silver
AKG K550,,Circumaural,"12,28",false,false,Closed,Black
AKG Q701WHT,,Circumaural,"10,39.8",false,false,Open,Black / White
Koss SB40,44.11,Circumaural,,true,false,Closed,Black
Koss 178203,40.12,Circumaural,,true,false,Closed,Black / Silver
Koss CS100 USB,18.98,Supra-aural,"30,16",true,false,Closed,Black / Silver
Koss KEB6K,14.7,In Ear,,false,false,Closed,Black / Silver
Logitech 600vi,13.29,In Ear,"20,20",false,false,Closed,Black / Silver
Logitech 200vi,19.98,In Ear,"20,20",false,false,Closed,Purple
Sony MDRE9LP/BLU,13.98,Earbud,"18,22",false,false,Closed,Blue / White
Sony MDREX100APL,,In Ear,"5,24",false,false,Closed,Black / Blue
Cyber Acoustics AC-104,14.99,Supra-aural,,true,false,Closed,Black
Cyber Acoustics AC-201,50.19,Supra-aural,"20,20",true,false,Closed,Black / Silver
Cyber Acoustics AC-202B,16.98,Supra-aural,"20,20",true,false,Closed,Black / Silver
Yamaha CM500,84.95,Circumaural,"20,20",true,false,Closed,Black
Yamaha EPH-50 White,,In Ear,"20,21",false,false,Closed,White
Etymotic Research ER23-HF3-BLACK-I,,In Ear,"20,15",false,false,Closed,Black / Silver
Philips SHE2105WT/28,9.99,Earbud,"12,22",false,false,Closed,White
Philips SHE3575BB/28,19.98,In Ear,"12,23.5",true,false,Closed,Blue
Shure SE315-K,248.75,In Ear,"22,18.5",false,false,Closed,Black
Shure SE535-CL,494,In Ear,"18,19",false,false,Closed,Brown
Rosewill RHTS-8206,,Circumaural,"20,20",true,false,Closed,Black / Red
Panasonic RP-HJE140-D,,Earbud,"6,25",false,false,Closed,Orange / White
Panasonic RP-HT21,11.98,Supra-aural,"16,22",false,false,Closed,Black / Silver
Skullcandy S5AVDM-161,49,Supra-aural,,false,false,Closed,Black / Silver
Skullcandy S5URDZ-074,,Supra-aural,"20,20",false,false,Closed,Black / White
Skullcandy S5URFZ-033,,Supra-aural,"20,20",false,false,Closed,Black
Skullcandy S6HSDZ-161,,Circumaural,"20,20",true,false,Closed,Black
Skullcandy PLYR 1,,Circumaural,,true,false,Closed,Black / White
Skullcandy SLYR,,Circumaural,,true,false,Closed,Black / White
Koss HB79,,Supra-aural,"30,15",false,true,Closed,Black
RCA HP5043,19.98,Supra-aural,"20,20",false,false,Semi-open,Black / Silver
Pyle Audio PWPE10W,14.21,In Ear,"20,20",false,false,Closed,Transparent
Beyerdynamic DT 660,,Circumaural,"5,35",false,false,Closed,Black / Silver
Beyerdynamic DT440,,Circumaural,"10,35",false,false,Open,Black / Silver
Beyerdynamic T 90,,Circumaural,"5,40",false,false,Open,Black / Silver
Koss Cs100,,Supra-aural,,false,false,Closed,Black / Silver
ARCTIC P311,,Supra-aural,"18,22",false,true,Closed,Black
ROCCAT Kave,,Circumaural,,true,false,Closed,Black
Razer Battlefield 4 BlackShark,,Circumaural,"20,20",true,false,Closed,Multicolor
Razer Hammerhead,,In Ear,"20,20",false,false,Closed,Black / Green
SteelSeries Diablo III 57002,,Circumaural,"18,28",true,false,Closed,Black / Red
SteelSeries 5Hv3,119,Circumaural,"16,28",true,false,Closed,Black / Red
Syba CL-AUD23028,,Supra-aural,,true,true,Closed,Black / White
Panasonic RP-TCM125-P,,In Ear,"10,24",false,false,Closed,Pink
Sony MDRAS200/WHI,55,Earbud,"17,22",false,false,Closed,White
Sony MDRXB200/L,,Circumaural,"5,22",false,false,Closed,Black / Blue
Shure SE425,,In Ear,"17,18",false,false,Closed,Black / Silver
Corsair Vengeance 2100,,Circumaural,"20,20",true,true,Closed,Black / Blue
Pioneer HDJ-500V,,Supra-aural,"5,28",false,false,Closed,Black / Purple
Sony MDR10RBLK,217.57,Circumaural,"5,40",true,false,Closed,Black / Silver
SteelSeries Siberia V2,,Circumaural,"18,28",true,false,Closed,Camo
Turtle Beach EARFORCEZ11,,Circumaural,,true,false,Closed,Black
TekNmotion PulseWave • V2,,Circumaural,,true,false,Closed,Black / Blue
Sakar International Teenage Mutant Ninja Turtles Kids Friendly,,Circumaural,,false,false,Closed,Green / Blue
Syba CL-AUD23049,,Circumaural,,false,true,Closed,White / Gray
Sennheiser HD 439,,Circumaural,"17,22.5",false,false,Closed,Black / Silver
Monoprice 8320,,In Ear,,false,false,Closed,Black / Silver
Plantronics GameCom 780,,Circumaural,,true,false,Closed,Black / Red
GAMDIAS EROS,,Circumaural,"20,20",true,false,Closed,Black / Red
Koss QZPRO,88.88,Circumaural,"40,20",false,false,Closed,Black / Silver
V-MODA CROSSFADE M-100 BLACK,,Circumaural,"5,30",false,false,Closed,Black
Audio-Technica ATH-ADG1,,Circumaural,"5,30",true,false,Open,Black / Red
HP HyperX Cloud,,Circumaural,"15,25",true,false,Closed,Black / Red
Razer Kraken Pro Neon,,Circumaural,"20,20",true,false,Closed,Black / Orange
Corsair Raptor HS30,,Circumaural,"20,20",true,false,Closed,Black / Red
Bose 715593-0010,,In Ear,,false,false,Closed,Black / Clear
Sennheiser URBANITEBLACKG,,Supra-aural,,false,false,Closed,Black / White
Creative Labs Tactic3D Rage Wireless V2.0,,Circumaural,"20,20",true,true,Closed,Black / Red
Genius 31710188102,,Circumaural,,false,true,Closed,Pink
Plantronics Blackwire C320-M,,Supra-aural,,true,false,Closed,Black
SteelSeries Siberia Elite,,Circumaural,"16,28",true,false,Closed,Black
SteelSeries Sims 4,,Supra-aural,"20,20",true,false,Closed,White
SteelSeries Elite Prism,,Circumaural,"16,28",true,false,Closed,Black / White
SteelSeries Elite Prism,,Circumaural,"16,28",true,false,Closed,Black
Syba SHELL210,,Circumaural,"20,20",true,false,Closed,Black / Gold
Turtle Beach Z60,,Circumaural,,true,false,Closed,Black / Red
Turtle Beach Recon 320,,Circumaural,"20,20",true,false,Closed,Black / Red
PDP AFTERGLOW PRISMATIC,,Circumaural,,true,true,Closed,Black
Corsair VOID Stereo,,Circumaural,"20,20",true,false,Closed,Black
Audio-Technica ATH-PG1,,Circumaural,"20,20",true,false,Closed,Black / Gold
Creative Labs DRACO HS880,,Circumaural,"20,20",true,false,Closed,Black / Red
Logitech H111,,Supra-aural,"20,20",true,false,Closed,Black
Sennheiser RS 185,,Circumaural,"17,22",false,true,Closed,Black / Silver
Thermaltake SHOCK 3D 7.1,,Circumaural,"20,20",true,false,Closed,Black / Red
Turtle Beach STEALTH 450,,Circumaural,,true,false,Closed,Black / Red
Plantronics RIG 500HD,,Circumaural,"20,20",true,false,Closed,Black
SteelSeries Siberia 650,,Circumaural,"16,28",true,false,Closed,Black / Orange
SteelSeries Siberia 800,,Circumaural,"20,20",true,true,Closed,Black / Orange
Corsair VOID,,Circumaural,"20,20",true,false,Closed,Black / Red
Audio-Technica ATH-MSR7GM,,Circumaural,"5,40",true,false,Closed,Brown
Audio-Technica ATH-ADG1X,,Circumaural,"5,35",true,false,Open,Black / Blue
Plantronics RIG 600,,Circumaural,"20,20",true,false,Closed,Black / Gold
Trust GXT 363 (FF Packaging),,Circumaural,"20,2",true,false,Closed,Black / Blue
Corsair VOID,,Circumaural,"20,20",true,false,Closed,White / Black
Avantree BTHS-AS9P-BLK,,Circumaural,"20,20",true,true,Closed,Black / Brown
Panasonic RPHJX5-S,19.98,In Ear,,false,false,Closed,Black / Silver
Etymotic Research ER4 Studio Reference,299,In Ear,"20,16",false,false,Closed,
Corsair HS50,,Circumaural,"20,20",true,false,Closed,Black / Green
HiFiMAN HE-400i,,Circumaural,"20,35",false,false,Open,Black
Audio-Technica ATH-AD1000X,,Circumaural,"5,40",false,false,Open,Black
Panasonic RP-HJE125-D,11.99,Earbud,,false,false,Closed,Orange
Panasonic RP-HJE125-K,,Earbud,,false,false,Closed,Red
Panasonic RP-HJE125-W,9.99,Earbud,"10,24",false,false,Closed,
Sennheiser GSP 500,,Circumaural,"10,30",true,false,Semi-open,Black / Red
HP HyperX Cloud Alpha Cloud 9 Edition,,Circumaural,"13,27",true,false,Closed,Black / Blue
Audeze Mobius,,Circumaural,"10,50",true,true,Closed,Black
Razer Tiamat 7.1 V2,,Circumaural,"20,20",true,false,Closed,Black / Silver
JVC HA-ENR15-B-K,16.03,Earbud,,true,false,Closed,Black / Red
Asus ROG Strix Fusion 300,,Circumaural,"20,20",true,false,Closed,Pink / White
Corsair HS45 SURROUND,,Circumaural,"20,20",true,false,Closed,Black
Corsair HS60 PRO SURROUND,,Circumaural,"20,20",true,false,Closed,Black / Yellow
HP OMEN Mindframe,,Circumaural,,true,false,Closed,Black / Red
HP OMEN Mindframe Prime,,Circumaural,,true,false,Closed,Black / Red
Cyber Acoustics ACM-6005,17.98,Supra-aural,,false,false,Closed,Black
Corsair VOID ELITE SURROUND,,Circumaural,"20,30",true,false,Closed,Black / Red
Audio-Technica SonicFuel CKR30iS,55.79,In Ear,"5,24",true,false,Closed,White
Trust GXT 322D Carus,,Circumaural,"20,20",true,false,Closed,Camo
Razer Thresher Ultimate,,Circumaural,"12,28",true,true,Closed,Black / Green
Rosewill NEBULA GX51,,Circumaural,"20,20",true,false,Closed,Black
Beyerdynamic Amiron Home Tesla,,Circumaural,"5,40",false,false,Open,Black / Silver
1MORE EHD9001TA,49.99,In Ear,,false,true,Closed,Black / Red
DROP DROP + HiFiMAN HE4XX,,Circumaural,"20,35",false,false,Open,Black
DROP Massdrop x HiFiMAN Edition XX,,Circumaural,"8,50",false,false,Open,Black / Silver
DROP MASSDROP X KOSS KSC75X,,Supra-aural,"15,25",false,false,Open,Black
DROP Massdrop x MEE Audio Planamic,,In Ear,"20,20",true,false,Closed,Blue
Final B3,,In Ear,,false,false,Closed,Silver / Black
Final E1000,29.99,Earbud,,false,false,Closed,Red / Black
Final E1000,29.99,Earbud,,false,false,Closed,Blue / Black
Final E2000C,40.11,Earbud,,false,false,Closed,Black
Final E3000C,59.44,Earbud,,false,false,Closed,Silver / Black
Skullcandy Hesh 3,,Circumaural,"20,20",true,true,Closed,White
Thermaltake Pulse G100,39.99,Circumaural,"20,20",true,false,Closed,Black
Sony Gold,,Circumaural,,true,true,Closed,Black
Sennheiser M3AEBTXL,,Circumaural,"6,22",false,true,Closed,Black / Silver
Beyerdynamic DT 880 CHROME SPECIAL EDITION,,Circumaural,"5,35",false,false,Semi-open,Silver / Black
HiFiMAN HE6se,,Circumaural,"8,65",false,false,Open,Black
Tempest Warrior RGB,,Circumaural,"20,20",true,false,Closed,Red / Black
Corsair HS35,,Circumaural,"20,20",true,false,Closed,Black / Blue
Astro A10,42.9,Circumaural,"20,20",true,false,Closed,White / Green
MSI Immerse GH61,,Circumaural,"29,40",true,false,Closed,Black
SteelSeries Arctis 1 Destiny Edition,,Circumaural,"20,20",true,false,Closed,White / Gray
Koss GMR-545-AIR,,Circumaural,"15,22",true,false,Open,Black / Red
HP HyperX Cloud Stinger - PS5/PS4,,Circumaural,"18,23",true,false,Closed,Black / Blue
Asus TUF Gaming H3,,Circumaural,"20,20",true,false,Closed,Black / Blue
Asus TUF Gaming H3,,Circumaural,"20,20",true,false,Closed,Black / Silver
Razer Kaira Pro for Xbox- Halo Infinite,,Circumaural,"20,20",true,true,Closed,Green / Black
Skullcandy Crusher,192.46,Circumaural,"20,20",true,false,Closed,Red / Black
Koss Porta Pro Communication,,Supra-aural,"15,25",true,false,Open,Black / Silver
DROP DROP Massdrop x Koss Porta Pro X,,Supra-aural,"15,25",true,false,Open,Black / Blue
Koss Porta Pro,,Supra-aural,"15,25",false,false,Open,Black / Silver
Asus TUF GAMING x Demon Slayer L.E. Nezuko Kamado,,Circumaural,,true,false,Closed,Pink / White
Corsair HS80 RGB Purple Rune,,Circumaural,"20,40",true,true,Closed,White / Purple
Razer Thresher Gears 5 Edition,,Circumaural,"12,28",true,true,Closed,Gray / Black
Razer Thresher For PS4,182.21,Circumaural,"12,28",true,true,Closed,Blue / Black
EPOS H3PRO Hybrid,,Circumaural,"20,20",true,true,Closed,White / Gray
Samsung Buds2,,In Ear,,true,true,Closed,White
Apple AirPods 3rd Gen MagSafe,149.99,In Ear,,true,true,Closed,White
ADATA XPG PRECOG S,,Circumaural,"20,20",true,false,Closed,Black
Audio-Technica ATH-102USB,43.25,Supra-aural,"20,20",true,false,Closed,Black
Thermaltake Argent H5,42.1,Circumaural,"20,40",true,false,Closed,Black
SteelSeries ARCTIS 5 (2019),,Circumaural,"20,22",true,false,Closed,White
Sennheiser EPOS Game Zero,,Circumaural,"15,28",true,false,Closed,Black / Red
YEYIAN Tempest 2000,,Circumaural,"20,20",true,false,Closed,Black / Red
YEYIAN Proud 3500,39.99,Circumaural,"20,20",true,false,Closed,Black
Corsair HS35 v2,44.98,Circumaural,,true,false,Closed,Blue / Black
Corsair HS35 v2,49.99,Circumaural,,true,false,Closed,Red / Black
Corsair HS35 v2,59.99,Circumaural,,true,false,Closed,Black
GALAX HOF Maestro Gloss,,Circumaural,"20,20",true,false,Closed,White
Audio-Technica ATH-TWX7,213.72,Earbud,"10,40",true,true,Closed,White / Brown
MCHOSE V9 Pro,,Circumaural,,true,true,Closed,White / Blue
Creative Labs HITZ MA200 Green,42.39,In Ear,"8,22",true,false,Closed,Green / White
Astro A38,,Supra-aural,"15,20",true,true,Closed,White
Audio-Technica ATH-S220BT,64,Circumaural,"5,32",true,true,Closed,Blue / Beige
Audio-Technica ATH-M10,124.49,Circumaural,"30,20",false,false,Closed,Black
Audio-Technica ATH-MSR7BK,249.95,Circumaural,"5,40",true,false,Closed,Black / Silver
HP HyperX Cloud Revolver,,Circumaural,"12,28",true,false,Closed,Silver
Skullcandy Hesh 3,199,Circumaural,"20,20",true,true,Closed,Green / Black
HiFiMAN RE2000 Silver,799,In Ear,"5,20",false,false,Closed,Black / Silver
Corsair HS55 SURROUND,80,Circumaural,"20,20",true,false,Closed,Black
Apple Airpods 2nd Gen,199,In Ear,,true,true,Closed,White
Asus ROG Strix Go,,Circumaural,"20,40",true,false,Closed,Black
Audio-Technica ATH-CKL202iSBK,19.98,In Ear,"20,23",true,false,Closed,Black
Sennheiser PX360,169,Circumaural,"15,22",false,false,Closed,Black
Creative Labs ChatMax HS-620,30.01,Circumaural,"20,20",true,false,Closed,Black / Silver
AKG K619BLU,,Circumaural,"16,24",true,false,Closed,Black / Blue
Yamaha RH1C,18.94,Supra-aural,"20,20",false,false,Open,Black
Syba CL-AUD63032,19.95,Circumaural,"20,20",true,false,Closed,White / Purple
RCA RCAHP5042,17.17,Circumaural,,false,false,Semi-open,Black / Gray
Sennheiser MX 686G,104.99,Earbud,"18,22",false,false,Closed,Green
AKG K553 PRO,249,Circumaural,"20,20",false,false,Closed,Black
Polk Striker P1,59,Circumaural,"20,20",true,false,Closed,Black
ADATA SOLOX F30+EMIX H30,222.33,Circumaural,"20,20",true,false,Closed,Black / Red
Sony MDR-ZX310R,25.48,Supra-aural,"10,24",false,false,Closed,Red
EPOS H6PRO,,Circumaural,"20,20",true,false,Closed,White / Silver
ROCCAT Khan Pro,202.11,Circumaural,"10,40",true,false,Closed,Black
GameStop GS220,41.96,Circumaural,,true,false,Closed,Gray / Silver
Audio-Technica ATH-ANC23BK,,In Ear,"20,20",true,false,Closed,Black / Gray
Audio-Technica ATH-ANC25,,Supra-aural,,false,false,Closed,Black / Gray
Audio-Technica ATH-ANC27,,Circumaural,,false,false,Closed,Black
Audio-Technica ATH-CKF300PL,,In Ear,"18,23",false,false,Closed,Purple
Audio-Technica 42005169863,,Earbud,"16,23",false,false,Closed,Brown / Black
Thermaltake eSPORTS SHOCK Battle Edition,,Circumaural,"20,20",true,false,Closed,Black / Green
Genius Lychas HS G550,,Circumaural,"20,20",true,false,Closed,Black
Genius 31710043101,,Circumaural,"20,20",true,false,Closed,Black / Red
Genius Mordax HS G600,,Circumaural,"20,20",true,false,Closed,Black / Green
Genius GHP-400S-Blue,,Supra-aural,"20,20",false,false,Closed,White / Blue
Razer Kraken,,Circumaural,"20,20",false,false,Closed,Green / Black
Audio-Technica ATHM50s/LE,,Circumaural,"15,28",false,false,Closed,White / Black
Audio-Technica ATH-M50S,,Circumaural,"15,28",false,false,Closed,Black / Silver
Altec Lansing 021986802631,14.95,Earbud,"20,20",false,false,Closed,Gray / White
Altec Lansing 021986802662,14.95,Earbud,"20,20",false,false,Closed,Black / Gray
Altec Lansing MZX106W,14.95,In Ear,"20,20",false,false,Closed,White / Black
Altec Lansing MZX2051S,,In Ear,"100,5",true,false,Closed,Black
Altec Lansing MZX436P,,In Ear,,false,false,Closed,Pink
Altec Lansing MZX436R,66.66,In Ear,,false,false,Closed,Pink / Black
Altec Lansing MZX736B,,In Ear,"20,20",true,false,Closed,Blue / Black
Altec Lansing MZX736W,,In Ear,"20,20",true,false,Closed,Blue / Black
Antec 761345740005,,In Ear,,false,false,Closed,Black
Antec 761345740012,,In Ear,,false,false,Closed,White / Pink
Antec 761345740029,,In Ear,,false,false,Closed,Silver
Antec 761345740036,,In Ear,,false,false,Closed,Green
Antec 761345740043,,In Ear,,false,false,Closed,Gray
ARCTIC P402 BT,,Supra-aural,"20,20",true,true,Closed,Black / Silver
Audio-Technica ATH-A500X,,Circumaural,"5,30",false,false,Closed,Black
Audio-Technica ATH-AD700,,Circumaural,"5,30",false,false,Open,Purple
Audio-Technica ATH-ANC23,,In Ear,"20,20",false,false,Closed,Black / Silver
Audio-Technica ATH-ANC27X,,Circumaural,"20,20",false,false,Closed,Black
Audio-Technica ATH-CK313IBGR,,In Ear,"20,23",true,false,Closed,Multicolor
Audio-Technica ATH-CK313IBK,,In Ear,"20,23",true,false,Closed,Black
Audio-Technica ATH-CK313IBL,,In Ear,"20,23",true,false,Closed,Black / Blue
Audio-Technica ATH-CK313IRD,,In Ear,"20,23",true,false,Closed,Black / Blue
Audio-Technica ATH-CK313IRD,,In Ear,"20,23",true,false,Closed,Red / Black
Audio-Technica ATH-CK313IWH,,In Ear,"20,23",true,false,Closed,White / Black
Audio-Technica ATH-CK313MBGR,,In Ear,"20,23",true,false,Closed,Black / Green
Audio-Technica ATH-CK313MBGK,,In Ear,"20,23",true,false,Closed,Black
Audio-Technica ATH-CK313MBL,,In Ear,"20,23",true,false,Closed,Black
Audio-Technica ATH-CK313MBPK,19.95,In Ear,"20,23",true,false,Closed,Pink / Black
Audio-Technica ATH-CK313MBRD,,In Ear,"20,23",true,false,Closed,Black / Red
Audio-Technica ATH-CK313MBW,,In Ear,"20,23",true,false,Closed,Brown / Black
Audio-Technica ATH-CK313MPK,16.95,In Ear,"20,23",true,false,Closed,Pink / Black
Audio-Technica ATH-CK313MRD,,In Ear,"20,23",true,false,Closed,Red / Black
Audio-Technica ATH-CK313MSV,,In Ear,"20,23",true,false,Closed,Silver / Black
Audio-Technica ATH-CK313MWH,,In Ear,"20,23",true,false,Closed,White
Audio-Technica ATH-CK323IBK,,In Ear,"20,23",true,false,Closed,Black
Audio-Technica ATH-CK323IBL,,In Ear,"20,23",true,false,Closed,Black / Blue
Audio-Technica ATH-CK323IRD,,In Ear,"20,23",true,false,Closed,Black / Red
Audio-Technica ATH-CK323ISBK,,In Ear,"20,23",true,false,Closed,Black
Audio-Technica ATH-CK323IWH,,In Ear,"20,23",true,false,Closed,White
Audio-Technica ATH-CKF300GD,,In Ear,"18,23",false,false,Closed,Yellow
Audio-Technica ATH-CKF300LGR,,In Ear,"18,23",false,false,Closed,Yellow
Audio-Technica ATH-CKF300MGR,,In Ear,"18,23",false,false,Closed,White
Audio-Technica ATH-CKF300PL,,In Ear,"18,23",false,false,Closed,Purple
Audio-Technica ATH-CKF300WH,,In Ear,"18,23",false,false,Closed,White
Audio-Technica ATH-CKF500LPK,,In Ear,"16,23",false,false,Closed,Pink
Audio-Technica ATH-CKF500WH,,In Ear,"16,23",false,false,Closed,White
Audio-Technica ATH-CKL202iSBL,,In Ear,"20,23",true,false,Closed,Blue
